BaseAccession,GeneSymbolAudit,ProteinNameAudit,ReviewedStatus,GeneSymbolAuditSource,AnnotationMappingSource,In_normal_tissue,In_cancer_tissue,In_cancer_cells,In_normal_cells,Region
Q5T7W7,TSTD2,Thiosulfate sulfurtransferase/rhodanese-like domain-containing protein 2 (Rhodanese domain-containing protein 2),reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
Q5T848,GPR158,Metabotropic glycine receptor (mGlyR) (G protein-coupled receptor 158),reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens reviewed UniProt primary gene name; audit only,TRUE,FALSE,TRUE,FALSE,normal_tissue_and_cancer_cells_only
Q5T871,LELP1,Late cornified envelope-like proline-rich protein 1 (Novel small proline-rich protein),reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
Q5T890,ERCC6L2,DNA excision repair protein ERCC-6-like 2 (EC 3.6.4.-) (DNA repair and recombination protein RAD26-like) (Excision repair cross-complementation group 6-like 2),reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens reviewed UniProt primary gene name; audit only,FALSE,FALSE,FALSE,TRUE,normal_cells_only
Q5T8C6,CDC16,Cell division cycle 16,non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,FALSE,FALSE,TRUE,TRUE,cancer_cells_and_normal_cells_only
Q5T8D3,ACBD5,Acyl-CoA-binding domain-containing protein 5,reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens reviewed UniProt primary gene name; audit only,TRUE,TRUE,TRUE,TRUE,all_four
Q5T8F0,CTSL,Cathepsin L,non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
Q5T8I3,EEIG2,EEIG family member 2 (EEIG2),reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens reviewed UniProt primary gene name; audit only,TRUE,TRUE,TRUE,TRUE,all_four
Q5T8I9,HENMT1,Small RNA 2'-O-methyltransferase (EC 2.1.1.386) (HEN1 methyltransferase homolog 1),reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens reviewed UniProt primary gene name; audit only,TRUE,FALSE,TRUE,TRUE,normal_tissue_and_cancer_cells_and_normal_cells_only
Q5T8P4,WASF3,Wiskott-Aldrich syndrome protein family member (WASP family protein member),non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
Q5T8P6,RBM26,RNA-binding protein 26 (CTCL tumor antigen se70-2) (RNA-binding motif protein 26),reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens reviewed UniProt primary gene name; audit only,TRUE,TRUE,TRUE,TRUE,all_four
Q5T8R2,GSTM5,Glutathione S-transferase (EC 2.5.1.18),non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,TRUE,normal_tissue_and_normal_cells_only
Q5T8R3,SLC16A1,Monocarboxylate transporter 1 (Solute carrier family 16 member 1),non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,FALSE,FALSE,TRUE,FALSE,cancer_cells_only
Q5T8R5,SLC16A1,Monocarboxylate transporter 1 (Solute carrier family 16 member 1),non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,FALSE,FALSE,TRUE,FALSE,cancer_cells_only
Q5T8U3,RPL7A,60S ribosomal protein L7a,non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,FALSE,FALSE,TRUE,FALSE,cancer_cells_only
Q5T8U5,SURF4,Surfeit locus protein 4,non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,FALSE,FALSE,TRUE,FALSE,cancer_cells_only
Q5T8Z4,BMI1,Polycomb complex protein BMI-1 (Polycomb group RING finger protein 4),non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
Q5T942,ZBTB5,Zinc finger and BTB domain-containing protein 5,non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
Q5T948,[unmapped],[unmapped],unmapped,No matching human UniProt annotation; audit only,No matching human UniProt annotation; audit only,FALSE,FALSE,TRUE,FALSE,cancer_cells_only
Q5T949,PTPA,Serine/threonine-protein phosphatase 2A activator (EC 5.2.1.8) (Phosphotyrosyl phosphatase activator),non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,FALSE,FALSE,TRUE,FALSE,cancer_cells_only
Q5T985,ITIH2,Inter-alpha-trypsin inhibitor heavy chain 2,non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,FALSE,FALSE,FALSE,TRUE,normal_cells_only
Q5T9A4,ATAD3B,ATPase family AAA domain-containing protein 3B (AAA-TOB3),reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens reviewed UniProt primary gene name; audit only,TRUE,TRUE,TRUE,TRUE,all_four
Q5T9B7,AK1,Adenylate kinase isoenzyme 1 (AK 1) (EC 2.7.4.3) (EC 2.7.4.6) (ATP-AMP transphosphorylase 1) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase) (Myokinase),non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,FALSE,FALSE,TRUE,FALSE,cancer_cells_only
Q5T9B9,[unmapped],[unmapped],unmapped,No matching human UniProt annotation; audit only,No matching human UniProt annotation; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
Q5T9C2,EEIG1,Early estrogen-induced gene 1 protein (EEIG1),reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
Q5T9C9,PIP5KL1,Phosphatidylinositol 4-phosphate 5-kinase-like protein 1 (PI(4)P 5-kinase-like protein 1) (PtdIns(4)P-5-kinase-like protein 1),reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
Q5T9G4,ARMC12,Armadillo repeat-containing protein 12,reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
Q5T9L3,WLS,Protein wntless homolog (Integral membrane protein GPR177) (Protein evenness interrupted homolog) (EVI) (Putative NF-kappa-B-activating protein 373),reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens reviewed UniProt primary gene name; audit only,TRUE,TRUE,TRUE,TRUE,all_four
Q5T9Q5,SUCLA2,Succinate-CoA ligase ADP-forming subunit beta,non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,FALSE,FALSE,TRUE,FALSE,cancer_cells_only
Q5T9S5,CCDC18,Coiled-coil domain-containing protein 18 (Sarcoma antigen NY-SAR-24),reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
Q5TA01,GSTO1,Glutathione-dependent dehydroascorbate reductase (EC 1.20.4.2) (EC 1.8.5.1) (Monomethylarsonic acid reductase),non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,FALSE,FALSE,TRUE,FALSE,cancer_cells_only
Q5TA02,GSTO1,Glutathione S-transferase omega (GSTO) (EC 1.20.4.2) (EC 1.8.5.1) (EC 2.5.1.18) (Glutathione-dependent dehydroascorbate reductase) (Monomethylarsonic acid reductase),non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,TRUE,FALSE,TRUE,FALSE,normal_tissue_and_cancer_cells_only
Q5TA31,RNF187,E3 ubiquitin-protein ligase RNF187 (EC 2.3.2.27) (RING domain AP1 coactivator 1) (RACO-1) (RING finger protein 187) (RING-type E3 ubiquitin transferase RNF187),reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,TRUE,normal_tissue_and_normal_cells_only
Q5TA45,INTS11,Integrator complex subunit 11 (Int11) (EC 3.1.27.-) (Cleavage and polyadenylation-specific factor 3-like protein) (CPSF3-like protein) (Protein related to CPSF subunits of 68 kDa) (RC-68),reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens reviewed UniProt primary gene name; audit only,TRUE,TRUE,TRUE,TRUE,all_four
Q5TA50,CPTP,Ceramide-1-phosphate transfer protein (CPTP) (Glycolipid transfer protein domain-containing protein 1) (GLTP domain-containing protein 1),reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens reviewed UniProt primary gene name; audit only,TRUE,TRUE,TRUE,TRUE,all_four
Q5TA58,AGO1,Protein argonaute-1,non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,TRUE,FALSE,TRUE,FALSE,normal_tissue_and_cancer_cells_only
Q5TA81,LCE2C,Late cornified envelope protein 2C (Late envelope protein 11),reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens reviewed UniProt primary gene name; audit only,FALSE,FALSE,FALSE,TRUE,normal_cells_only
Q5TA82,LCE2D,Late cornified envelope protein 2D (Late envelope protein 12) (Small proline-rich-like epidermal differentiation complex protein 1A),reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens reviewed UniProt primary gene name; audit only,FALSE,FALSE,FALSE,TRUE,normal_cells_only
Q5TAA0,TTC22,Tetratricopeptide repeat protein 22 (TPR repeat protein 22),reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
Q5TAH2,SLC9C2,Sodium/hydrogen exchanger 11 (Na(+)/H(+) exchanger 11) (NHE-11) (Solute carrier family 9 member 11) (Solute carrier family 9 member C2),reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
Q5TAL2,SNRPC,Small nuclear ribonucleoprotein polypeptide C,non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
Q5TAL4,SNRPC,U1 small nuclear ribonucleoprotein C (U1 snRNP C) (U1-C) (U1C),non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,TRUE,normal_tissue_and_normal_cells_only
Q5TAQ0,UQCC2,Mitochondrial nucleoid factor 1 (Mitochondrial protein M19),non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,TRUE,normal_tissue_and_normal_cells_only
Q5TAQ9,DCAF8,DDB1- and CUL4-associated factor 8 (WD repeat-containing protein 42A),reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens reviewed UniProt primary gene name; audit only,TRUE,TRUE,TRUE,TRUE,all_four
Q5TAT6,COL13A1,Collagen alpha-1(XIII) chain (COLXIIIA1),reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens reviewed UniProt primary gene name; audit only,TRUE,TRUE,FALSE,FALSE,normal_tissue_and_cancer_tissue_only
Q5TAX3,TUT4,Terminal uridylyltransferase 4 (TUTase 4) (EC 2.7.7.52) (Zinc finger CCHC domain-containing protein 11),reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens reviewed UniProt primary gene name; audit only,TRUE,TRUE,TRUE,TRUE,all_four
Q5TB19,ANP32E,Acidic leucine-rich nuclear phosphoprotein 32 family member,non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,FALSE,FALSE,TRUE,FALSE,cancer_cells_only
Q5TB52,PAPSS2,"3'-phosphoadenosine 5'-phosphosulfate synthase 2, isoform CRA_b (Epididymis secretory sperm binding protein) (cDNA, FLJ92929, highly similar to Homo sapiens 3'-phosphoadenosine 5'-phosphosulfate synthase 2 (PAPSS2), mRNA)",non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,TRUE,normal_tissue_and_normal_cells_only
Q5TB53,TM9SF3,Transmembrane 9 superfamily member,non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
Q5TB80,CEP162,Centrosomal protein of 162 kDa (Cep162) (Protein QN1 homolog),reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
Q5TBA9,FRY,Protein furry homolog,reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens reviewed UniProt primary gene name; audit only,TRUE,FALSE,TRUE,FALSE,normal_tissue_and_cancer_cells_only
Q5TBB1,RNASEH2B,Ribonuclease H2 subunit B (RNase H2 subunit B) (Aicardi-Goutieres syndrome 2 protein) (AGS2) (Deleted in lymphocytic leukemia 8) (Ribonuclease HI subunit B),reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens reviewed UniProt primary gene name; audit only,TRUE,TRUE,TRUE,TRUE,all_four
Q5TBB8,LAPTM5,"Lysosomal associated multispanning membrane protein 5, isoform CRA_a (Lysosomal multispanning membrane protein 5) (cDNA FLJ75768, highly similar to Homo sapiens lysosomal associated multispanning membrane protein 5 (LAPTM5), mRNA)",non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
Q5TBC7,BCL2L15,Bcl-2-like protein 15 (Bcl2-L-15) (Bcl-2 family kin) (Bfk),reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
Q5TBE3,C9orf153,Uncharacterized protein C9orf153,reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
Q5TBF5,OGN,Osteoglycin,non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
Q5TBK7,UCHL3,ubiquitinyl hydrolase 1 (EC 3.4.19.12),non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,FALSE,FALSE,TRUE,FALSE,cancer_cells_only
Q5TBP9,LSM14B,LSM family member 14B,non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,TRUE,FALSE,TRUE,FALSE,normal_tissue_and_cancer_cells_only
Q5TBQ0,LSM14B,LSM family member 14B,non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,FALSE,FALSE,TRUE,FALSE,cancer_cells_only
Q5TBQ1,LSM14B,LSM family member 14B,non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,FALSE,FALSE,TRUE,FALSE,cancer_cells_only
Q5TBU5,hCG_1773630,"HCG1773630 (cDNA, FLJ92308, Homo sapiens adipose specific 2 (APM2), mRNA)",non-reviewed,UniProt UniProt gene-names fallback,UniProtKB Homo sapiens non-reviewed UniProt gene-names fallback; audit only,TRUE,FALSE,FALSE,TRUE,normal_tissue_and_normal_cells_only
Q5TC12,ATPAF1,ATP synthase mitochondrial F1 complex assembly factor 1 (ATP11 homolog),reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens reviewed UniProt primary gene name; audit only,TRUE,TRUE,TRUE,TRUE,all_four
Q5TC63,GRTP1,Growth hormone-regulated TBC protein 1 (TBC1 domain family member 6),reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens reviewed UniProt primary gene name; audit only,TRUE,FALSE,TRUE,FALSE,normal_tissue_and_cancer_cells_only
Q5TC79,ZBTB37,Zinc finger and BTB domain-containing protein 37,reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
Q5TC82,RC3H1,Roquin-1 (Roquin) (EC 2.3.2.27) (RING finger and C3H zinc finger protein 1) (RING finger and CCCH-type zinc finger domain-containing protein 1) (RING finger protein 198),reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens reviewed UniProt primary gene name; audit only,TRUE,TRUE,TRUE,TRUE,all_four
Q5TC84,OGFRL1,Opioid growth factor receptor-like protein 1,reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens reviewed UniProt primary gene name; audit only,TRUE,TRUE,TRUE,TRUE,all_four
Q5TCI8,LMNA,Prelamin-A/C,non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
Q5TCQ9,MAGI3,"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 3 (Membrane-associated guanylate kinase inverted 3) (MAGI-3)",reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens reviewed UniProt primary gene name; audit only,TRUE,TRUE,FALSE,TRUE,normal_tissue_and_cancer_tissue_and_normal_cells_only
Q5TCS8,AK9,Adenylate kinase 9 (EC 2.7.4.4) (EC 2.7.4.6) (Adenylate kinase domain-containing protein 1) (Adenylate kinase domain-containing protein 2),reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
Q5TCT4,RBM34,RNA binding motif protein 34,non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,FALSE,FALSE,TRUE,FALSE,cancer_cells_only
Q5TCU3,TPM2,Tropomyosin 2,non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,TRUE,normal_tissue_and_normal_cells_only
Q5TCX8,MAP3K21,Mitogen-activated protein kinase kinase kinase 21 (EC 2.7.11.25) (Mitogen-activated protein kinase kinase kinase MLK4) (Mixed lineage kinase 4),reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
Q5TCY1,TTBK1,Tau-tubulin kinase 1 (EC 2.7.11.1) (Brain-derived tau kinase),reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
Q5TCZ1,SH3PXD2A,SH3 and PX domain-containing protein 2A (Adapter protein TKS5) (Five SH3 domain-containing protein) (SH3 multiple domains protein 1) (Tyrosine kinase substrate with five SH3 domains),reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens reviewed UniProt primary gene name; audit only,TRUE,TRUE,TRUE,TRUE,all_four
Q5TD05,NQO2,Ribosyldihydronicotinamide dehydrogenase [quinone] (EC 1.10.5.1) (NRH dehydrogenase [quinone] 2) (NRH:quinone oxidoreductase 2) (Quinone reductase 2),non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
Q5TD07,NQO2,N-ribosyldihydronicotinamide:quinone dehydrogenase 2,non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
Q5TD94,RSPH4A,Radial spoke head protein 4 homolog A (Radial spoke head-like protein 3),reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
Q5TD97,FHL5,Four and a half LIM domains protein 5 (FHL-5) (Activator of cAMP-responsive element modulator in testis) (Activator of CREM in testis),reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens reviewed UniProt primary gene name; audit only,TRUE,TRUE,FALSE,FALSE,normal_tissue_and_cancer_tissue_only
Q5TDE7,RNF220,Ring finger protein 220,non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
Q5TDE8,RNF220,Ring finger protein 220,non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
Q5TDE9,C1orf57,"Chromosome 1 open reading frame 57, isoform CRA_d (cDNA, FLJ95865)",non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
Q5TDF0,NTPCR,"Nucleoside-triphosphatase, cancer-related",non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,FALSE,FALSE,TRUE,FALSE,cancer_cells_only
Q5TDG3,WDR3,WD repeat-containing protein 3,non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
Q5TDH0,DDI2,Protein DDI1 homolog 2 (EC 3.4.23.-),reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens reviewed UniProt primary gene name; audit only,TRUE,TRUE,TRUE,TRUE,all_four
Q5TDP6,LGSN,Lengsin (Glutamate-ammonia ligase domain-containing protein 1) (Lens glutamine synthase-like),reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
Q5TE63,BCL2L1,Bcl-2-like protein 1 (Apoptosis regulator Bcl-X),non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,TRUE,normal_tissue_and_normal_cells_only
Q5TE64,BCL2L1,Bcl-2-like protein 1 (Apoptosis regulator Bcl-X),non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
Q5TEA3,DNAAF9,Dynein axonemal assembly factor 9 (DNAAF9) (Shulin),reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,TRUE,normal_tissue_and_normal_cells_only
Q5TEA6,SEL1L2,Protein sel-1 homolog 2 (Suppressor of lin-12-like protein 2) (Sel-1L2),reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
Q5TEC6,H3-7,Histone H3-7,reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens reviewed UniProt primary gene name; audit only,TRUE,TRUE,TRUE,TRUE,all_four
Q5TEE2,HDAC1,Histone deacetylase 1 (EC 3.5.1.98) (Protein deacetylase HDAC1) (Protein deacylase HDAC1),non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,FALSE,FALSE,TRUE,FALSE,cancer_cells_only
Q5TEH8,WNT2B,Protein Wnt,non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
Q5TEJ7,RPA2,Replication protein A2,non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,FALSE,FALSE,TRUE,TRUE,cancer_cells_and_normal_cells_only
Q5TEJ8,THEMIS2,Protein THEMIS2 (Induced by contact to basement membrane 1 protein) (Protein ICB-1) (Thymocyte-expressed molecule involved in selection protein 2),reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,TRUE,normal_tissue_and_normal_cells_only
Q5TEU4,NDUFAF5,"Arginine-hydroxylase NDUFAF5, mitochondrial (EC 1.-.-.-) (NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 5) (Putative methyltransferase NDUFAF5) (EC 2.1.1.-)",reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens reviewed UniProt primary gene name; audit only,TRUE,TRUE,TRUE,TRUE,all_four
Q5TEZ5,C6orf163,Uncharacterized protein C6orf163,reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
Q5TF21,MTCL3,Microtubule cross-linking factor 3,reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens reviewed UniProt primary gene name; audit only,TRUE,FALSE,TRUE,TRUE,normal_tissue_and_cancer_cells_and_normal_cells_only
Q5TF58,IFFO2,Intermediate filament family orphan 2,reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens reviewed UniProt primary gene name; audit only,FALSE,FALSE,FALSE,TRUE,normal_cells_only
Q5TF85,TENT5A,polynucleotide adenylyltransferase (EC 2.7.7.19),non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
Q5TFE4,NT5DC1,5'-nucleotidase domain-containing protein 1 (EC 3.1.3.-),reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens reviewed UniProt primary gene name; audit only,TRUE,TRUE,TRUE,TRUE,all_four
Q5TFG8,ZC2HC1B,Zinc finger C2HC domain-containing protein 1B,reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
Q5TFJ7,KPNA6,Karyopherin subunit alpha 6,non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,FALSE,FALSE,TRUE,FALSE,cancer_cells_only
Q5TFQ8,SIRPB1,Signal-regulatory protein beta-1 isoform 3 (SIRP-beta-1 isoform 3),reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,TRUE,normal_tissue_and_normal_cells_only
Q5TG40,DMAP1,DNA methyltransferase 1-associated protein 1,non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,FALSE,FALSE,TRUE,FALSE,cancer_cells_only
Q5TG81,KCNAB2,Potassium voltage-gated channel subfamily A regulatory beta subunit 2,non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
