PXD,SampleGroup,ReferencePXD,SourceProteinID,IdentifierType,MappedBaseAccessions,IsDdr
PXD033146,pathological rotator cuff tendon,PXD033146,O14498,UniProtKB,O14498,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O14531,UniProtKB,O14531,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O14545,UniProtKB,O14545,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O14558,UniProtKB,O14558,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O14561,UniProtKB,O14561,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O14579,UniProtKB,O14579,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O14602,UniProtKB,O14602,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O14617,UniProtKB,O14617,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O14639,UniProtKB,O14639,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O14653,UniProtKB,O14653,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O14662,UniProtKB,O14662,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O14672,UniProtKB,O14672,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O14684,UniProtKB,O14684,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O14737,UniProtKB,O14737,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O14744,UniProtKB,O14744,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O14745,UniProtKB,O14745,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O14773,UniProtKB,O14773,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O14776,UniProtKB,O14776,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O14786,UniProtKB,O14786,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O14787,UniProtKB,O14787,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O14791,UniProtKB,O14791,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O14818,UniProtKB,O14818,TRUE
PXD033146,pathological rotator cuff tendon,PXD033146,O14828,UniProtKB,O14828,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O14841,UniProtKB,O14841,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O14880,UniProtKB,O14880,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O14907,UniProtKB,O14907,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O14910,UniProtKB,O14910,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O14920,UniProtKB,O14920,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O14933,UniProtKB,O14933,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O14936,UniProtKB,O14936,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O14939,UniProtKB,O14939,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O14948,UniProtKB,O14948,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O14949,UniProtKB,O14949,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O14950,UniProtKB,O14950,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O14958,UniProtKB,O14958,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O14964,UniProtKB,O14964,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O14972,UniProtKB,O14972,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O14974,UniProtKB,O14974,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O14976,UniProtKB,O14976,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O14979,UniProtKB,O14979,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O14980,UniProtKB,O14980,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O14983,UniProtKB,O14983,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O14994,UniProtKB,O14994,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O15013,UniProtKB,O15013,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O15027,UniProtKB,O15027,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O15031,UniProtKB,O15031,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O15042,UniProtKB,O15042,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O15061,UniProtKB,O15061,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O15066,UniProtKB,O15066,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O15067,UniProtKB,O15067,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O15075,UniProtKB,O15075,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O15085,UniProtKB,O15085,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O15116,UniProtKB,O15116,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O15126,UniProtKB,O15126,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O15127,UniProtKB,O15127,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O15131,UniProtKB,O15131,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O15143,UniProtKB,O15143,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O15144,UniProtKB,O15144,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O15145,UniProtKB,O15145,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O15155,UniProtKB,O15155,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O15162,UniProtKB,O15162,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O15173,UniProtKB,O15173,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O15198,UniProtKB,O15198,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O15212,UniProtKB,O15212,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O15230,UniProtKB,O15230,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O15243,UniProtKB,O15243,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O15247,UniProtKB,O15247,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O15258,UniProtKB,O15258,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O15260,UniProtKB,O15260,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O15269,UniProtKB,O15269,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O15305,UniProtKB,O15305,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O15321,UniProtKB,O15321,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O15327,UniProtKB,O15327,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O15335,UniProtKB,O15335,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O15355,UniProtKB,O15355,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O15371,UniProtKB,O15371,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O15372,UniProtKB,O15372,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O15382,UniProtKB,O15382,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O15400,UniProtKB,O15400,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O15460,UniProtKB,O15460,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O15498,UniProtKB,O15498,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O15511,UniProtKB,O15511,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O15514,UniProtKB,O15514,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O15523,UniProtKB,O15523,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O15533,UniProtKB,O15533,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O43143,UniProtKB,O43143,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O43148,UniProtKB,O43148,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O43150,UniProtKB,O43150,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O43169,UniProtKB,O43169,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O43172,UniProtKB,O43172,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O43175,UniProtKB,O43175,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O43181,UniProtKB,O43181,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O43236,UniProtKB,O43236,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O43237,UniProtKB,O43237,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O43242,UniProtKB,O43242,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O43252,UniProtKB,O43252,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O43264,UniProtKB,O43264,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O43292,UniProtKB,O43292,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O43293,UniProtKB,O43293,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O43294,UniProtKB,O43294,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O43301,UniProtKB,O43301,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O43324,UniProtKB,O43324,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O43390,UniProtKB,O43390,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O43396,UniProtKB,O43396,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O43399,UniProtKB,O43399,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O43402,UniProtKB,O43402,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O43414,UniProtKB,O43414,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O43423,UniProtKB,O43423,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O43432,UniProtKB,O43432,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O43447,UniProtKB,O43447,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O43464,UniProtKB,O43464,TRUE
PXD033146,pathological rotator cuff tendon,PXD033146,O43488,UniProtKB,O43488,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O43491,UniProtKB,O43491,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O43493,UniProtKB,O43493,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O43504,UniProtKB,O43504,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O43556,UniProtKB,O43556,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O43583,UniProtKB,O43583,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O43586,UniProtKB,O43586,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O43592,UniProtKB,O43592,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O43615,UniProtKB,O43615,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O43617,UniProtKB,O43617,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O43639,UniProtKB,O43639,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O43657,UniProtKB,O43657,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O43660,UniProtKB,O43660,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O43665,UniProtKB,O43665,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O43670,UniProtKB,O43670,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O43674,UniProtKB,O43674,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O43676,UniProtKB,O43676,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O43678,UniProtKB,O43678,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O43681,UniProtKB,O43681,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O43684,UniProtKB,O43684,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O43707,UniProtKB,O43707,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O43708,UniProtKB,O43708,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O43747,UniProtKB,O43747,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O43760,UniProtKB,O43760,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O43772,UniProtKB,O43772,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O43776,UniProtKB,O43776,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O43795,UniProtKB,O43795,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O43809,UniProtKB,O43809,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O43813,UniProtKB,O43813,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O43815,UniProtKB,O43815,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O43819,UniProtKB,O43819,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O43827,UniProtKB,O43827,FALSE
