PXD,SampleGroup,RegulatorBaseAccession,GeneSymbol,WholeProteomeRelativePercentile,DetectedSampleCount,QuantSampleCount,DetectedSampleFraction,MedianLog2SignalDetected,Measurement,SourceFile
PXD050147,HepG2 WT and SIRT1 or SIRT3 KO,Q9H9T3,ELP3,58.3608265323841,9,9,1,28.5053672166997,ordinary MaxQuant protein intensity; no PTM enrichment,data/PXD050147/search_results/SIRT_proteinGroups.txt
PXD050147,HepG2 WT and SIRT1 or SIRT3 KO,Q9NRC8,SIRT7,0,0,9,0,,"",""
PXD050147,HepG2 WT and SIRT1 or SIRT3 KO,Q9NTG7,SIRT3,0,3,9,0.333333333333333,25.2506445602281,ordinary MaxQuant protein intensity; no PTM enrichment,data/PXD050147/search_results/SIRT_proteinGroups.txt
PXD050147,HepG2 WT and SIRT1 or SIRT3 KO,Q9NXA8,SIRT5,13.7647663071392,9,9,1,25.148760541682,ordinary MaxQuant protein intensity; no PTM enrichment,data/PXD050147/search_results/SIRT_proteinGroups.txt
PXD050147,HepG2 WT and SIRT1 or SIRT3 KO,Q9UBN7,HDAC6,22.4344504254211,9,9,1,25.9181160535231,ordinary MaxQuant protein intensity; no PTM enrichment,data/PXD050147/search_results/SIRT_proteinGroups.txt
PXD050147,HepG2 WT and SIRT1 or SIRT3 KO,Q9UKN8,GTF3C4,64.3958651076089,9,9,1,29.0826612404098,ordinary MaxQuant protein intensity; no PTM enrichment,data/PXD050147/search_results/SIRT_proteinGroups.txt
PXD050147,HepG2 WT and SIRT1 or SIRT3 KO,Q9UKV0,HDAC9,0,0,9,0,,"",""
PXD050147,HepG2 WT and SIRT1 or SIRT3 KO,Q9ULM3,YEATS2,1.45454545454545,8,9,0.888888888888889,23.6235096315573,ordinary MaxQuant protein intensity; no PTM enrichment,data/PXD050147/search_results/SIRT_proteinGroups.txt
PXD050147,HepG2 WT and SIRT1 or SIRT3 KO,Q9UPN9,TRIM33,53.1936465021967,9,9,1,28.2563791772441,ordinary MaxQuant protein intensity; no PTM enrichment,data/PXD050147/search_results/SIRT_proteinGroups.txt
PXD050147,HepG2 WT and SIRT1 or SIRT3 KO,Q9UQL6,HDAC5,0,0,9,0,,"",""
PXD050147,HepG2 WT and SIRT1 or SIRT3 KO,Q9Y232,CDYL,42.2585590189065,9,9,1,27.5547184768624,ordinary MaxQuant protein intensity; no PTM enrichment,data/PXD050147/search_results/SIRT_proteinGroups.txt
PXD050147,HepG2 WT and SIRT1 or SIRT3 KO,Q9Y6E7,SIRT4,0,0,9,0,,"",""
PXD050470,human hippocampus,O14929,HAT1,0,0,3,0,,"",""
PXD050470,human hippocampus,O15379,HDAC3,0,0,3,0,,"",""
PXD050470,human hippocampus,O60885,BRD4,0,0,3,0,,"",""
PXD050470,human hippocampus,O75607,NPM3,0,0,3,0,,"",""
PXD050470,human hippocampus,O95251,KAT7,0,0,3,0,,"",""
PXD050470,human hippocampus,P05783,KRT18,35.684920243381,3,3,1,0.543638812513094,same-study ordinary whole-proteome relative intensity; direct UniProt ID,data/PXD050470/supplementary/prca2331-sup-0006-tables4.xlsx
PXD050470,human hippocampus,P41227,NAA10,52.0802499588883,3,3,1,0.945754273173732,same-study ordinary whole-proteome relative intensity; direct UniProt ID,data/PXD050470/supplementary/prca2331-sup-0006-tables4.xlsx
PXD050470,human hippocampus,P42568,MLLT3,0,0,3,0,,"",""
PXD050470,human hippocampus,P49588,AARS1,93.2247985528696,3,3,1,4.54280139489903,same-study ordinary whole-proteome relative intensity; direct UniProt ID,data/PXD050470/supplementary/prca2331-sup-0006-tables4.xlsx
PXD050470,human hippocampus,P51532,SMARCA4,0,0,3,0,,"",""
PXD050470,human hippocampus,P56524,HDAC4,24.8314421970071,3,3,1,0.313541850970088,same-study ordinary whole-proteome relative intensity; direct UniProt ID,data/PXD050470/supplementary/prca2331-sup-0006-tables4.xlsx
PXD050470,human hippocampus,Q09472,EP300,0,0,3,0,,"",""
PXD050470,human hippocampus,Q13547,HDAC1,0,0,3,0,,"",""
PXD050470,human hippocampus,Q56NI9,ESCO2,0,0,3,0,,"",""
PXD050470,human hippocampus,Q5JTZ9,AARS2,48.1335306692978,3,3,1,0.906825928682511,same-study ordinary whole-proteome relative intensity; direct UniProt ID,data/PXD050470/supplementary/prca2331-sup-0006-tables4.xlsx
PXD050470,human hippocampus,Q5SQI0,ATAT1,68.9689195855945,3,3,1,1.90868470328989,same-study ordinary whole-proteome relative intensity; direct UniProt ID,data/PXD050470/supplementary/prca2331-sup-0006-tables4.xlsx
