ReferenceKey,Model,ReferenceKey,n_group_ids,N_rows,Pos_count,obs_rate,mean_pred,calib_error,abs_calib_error
GSE103520_MCF10A_control,ME2P,GSE103520_MCF10A_control,1,155,62,0.4,0.36532423033455,-0.0346757696654502,0.0346757696654502
HCT116_control,ME2P,HCT116_control,3,733,303,0.413369713506139,0.449362948802456,0.0359932352963166,0.0359932352963166
GSE163787_TALL104,ME2P,GSE163787_TALL104,1,192,34,0.177083333333333,0.481888984361837,0.304805651028504,0.304805651028504
GSE203529_HEK293T_WT,ME2P,GSE203529_HEK293T_WT,1,268,38,0.141791044776119,0.42309622286283,0.28130517808671,0.28130517808671
HepG2_DMSO24h,ME2P,HepG2_DMSO24h,1,303,228,0.752475247524752,0.281911290895006,-0.470563956629746,0.470563956629746
GSE171750_A549_untreated,ME2P,GSE171750_A549_untreated,1,175,86,0.491428571428572,0.39107060138641,-0.100357970042162,0.100357970042162
PC3M_DMSO,ME2P,PC3M_DMSO,1,177,28,0.15819209039548,0.427906427626813,0.269714337231332,0.269714337231332
GSE266884_MES28_vector_control,ME2P,GSE266884_MES28_vector_control,1,320,220,0.6875,0.322363386735987,-0.365136613264013,0.365136613264013
GSE119834_NSC,ME2P,GSE119834_NSC,1,307,164,0.534201954397394,0.332857030750998,-0.201344923646396,0.201344923646396
RKO_DMSO,ME2P,RKO_DMSO,1,193,90,0.466321243523316,0.430583028131985,-0.0357382153913312,0.0357382153913312
GSE275256_HMC3_vehicle,ME2P,GSE275256_HMC3_vehicle,1,287,141,0.491289198606272,0.402587300728754,-0.0887018978775174,0.0887018978775174
HK2_untreated,ME2P,HK2_untreated,2,432,230,0.532407407407407,0.322589593542258,-0.20981781386515,0.20981781386515
HUVEC_untreated,ME2P,HUVEC_untreated,1,323,172,0.532507739938081,0.367713870501129,-0.164793869436952,0.164793869436952
tendon_nondiabetic,XEN,tendon_nondiabetic,1,112,22,0.196428571428571,0.374591255012972,0.1781626835844,0.1781626835844
GTEx_v8_Lung,XEN,GTEx_v8_Lung,1,280,21,0.075,0.36479868852474,0.28979868852474,0.28979868852474
GSE181540_HS_input,XEN,GSE181540_HS_input,1,70,14,0.2,0.456779537582728,0.256779537582728,0.256779537582728
GSE181540_adjacent_NS_input,XEN,GSE181540_adjacent_NS_input,1,76,25,0.328947368421053,0.446784684642982,0.11783731622193,0.11783731622193
GTEx_v8_Hippocampus,XEN,GTEx_v8_Hippocampus,1,146,25,0.171232876712329,0.354674154599401,0.183441277887072,0.183441277887072
GSE114691_control_placenta,XEN,GSE114691_control_placenta,1,228,8,0.0350877192982456,0.385711790647918,0.350624071349672,0.350624071349672
sperm_GroupI,XEN,sperm_GroupI,1,276,5,0.0181159420289855,0.624250905832426,0.60613496380344,0.60613496380344
GSE132714_BPH,XEN,GSE132714_BPH,1,280,128,0.457142857142857,0.367585028039085,-0.089557829103772,0.089557829103772
TCGA_PRAD_primary,XEN,TCGA_PRAD_primary,1,281,129,0.459074733096086,0.399261725681665,-0.0598130074144209,0.0598130074144209
TCGA_LIHC_normal,XEN,TCGA_LIHC_normal,1,134,69,0.514925373134328,0.352087781533598,-0.16283759160073,0.16283759160073
TCGA_LIHC_primary,XEN,TCGA_LIHC_primary,1,186,88,0.473118279569893,0.374065035015548,-0.0990532445543444,0.0990532445543444
TCGA_ESCA_ESCC,XEN,TCGA_ESCA_ESCC,1,288,82,0.284722222222222,0.396349157654,0.111626935431778,0.111626935431778
MCF7_DMSO7d,XEN,MCF7_DMSO7d,1,167,87,0.520958083832335,0.441900320891321,-0.079057762941014,0.079057762941014
MDAMB468_DMSO7d,XEN,MDAMB468_DMSO7d,1,175,106,0.605714285714286,0.427821577416863,-0.177892708297423,0.177892708297423
GSE283812_T47D_vehicle,XEN,GSE283812_T47D_vehicle,1,180,103,0.572222222222222,0.453437573603342,-0.11878464861888,0.11878464861888
GSE103520_MCF10A_control,XEN,GSE103520_MCF10A_control,1,155,62,0.4,0.34232242551899,-0.0576775744810105,0.0576775744810105
HCT116_control,XEN,HCT116_control,3,733,303,0.413369713506139,0.45419319711634,0.040823483610201,0.040823483610201
GSE163787_TALL104,XEN,GSE163787_TALL104,1,192,34,0.177083333333333,0.470053657915999,0.292970324582665,0.292970324582665
GSE203529_HEK293T_WT,XEN,GSE203529_HEK293T_WT,1,268,38,0.141791044776119,0.46504685191313,0.323255807137011,0.323255807137011
HepG2_DMSO24h,XEN,HepG2_DMSO24h,1,303,228,0.752475247524752,0.24967921296684,-0.502796034557912,0.502796034557912
GSE171750_A549_untreated,XEN,GSE171750_A549_untreated,1,175,86,0.491428571428572,0.389218238300268,-0.102210333128303,0.102210333128303
PC3M_DMSO,XEN,PC3M_DMSO,1,177,28,0.15819209039548,0.425615234837795,0.267423144442315,0.267423144442315
GSE266884_MES28_vector_control,XEN,GSE266884_MES28_vector_control,1,320,220,0.6875,0.335969828016429,-0.351530171983571,0.351530171983571
GSE119834_NSC,XEN,GSE119834_NSC,1,307,164,0.534201954397394,0.322027712361984,-0.212174242035411,0.212174242035411
RKO_DMSO,XEN,RKO_DMSO,1,193,90,0.466321243523316,0.434972058966216,-0.0313491845571004,0.0313491845571004
GSE275256_HMC3_vehicle,XEN,GSE275256_HMC3_vehicle,1,287,141,0.491289198606272,0.43002151408641,-0.0612676845198617,0.0612676845198617
HK2_untreated,XEN,HK2_untreated,2,432,230,0.532407407407407,0.341358952407597,-0.19104845499981,0.19104845499981
HUVEC_untreated,XEN,HUVEC_untreated,1,323,172,0.532507739938081,0.369580590603046,-0.162927149335034,0.162927149335034
