EnsemblProteinID	MappingSource	MappingDate
ENSP00000362145	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000362184	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000362271	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000362282	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000362363	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000362887	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000363097	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000363134	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000363211	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000363232	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000363289	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000363303	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000363626	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000363842	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000363988	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000364034	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000364047	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000364188	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000364554	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000364856	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000364858	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000365139	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000365604	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000365655	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000365821	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000366084	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000366176	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000366339	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000366894	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000367134	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000367243	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000367252	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000367301	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000367421	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000367550	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000367828	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000367923	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000368513	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000368555	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000368566	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000368699	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000368836	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000368932	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000369132	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000369134	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000369254	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000369519	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000369600	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000369625	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000369654	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000369666	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
