OuterBlock,Model,Lambda,InnerSourceMAE,Selected
12,SampleUnweighted,0.01,9.78091100071925,TRUE
12,SampleMaterialBalanced,100,9.64941922711643,FALSE
12,SampleMaterialBalanced,10,9.16444447034499,TRUE
12,SampleMaterialBalanced,1,9.84710776606681,FALSE
12,SampleMaterialBalanced,0.1,11.8096476127236,FALSE
12,SampleMaterialBalanced,0.01,13.6705314763836,FALSE
12,SampleBalanced,100,9.99288717313671,FALSE
12,SampleBalanced,10,9.93468348377061,FALSE
12,SampleBalanced,1,9.86278364607614,TRUE
12,SampleBalanced,0.1,11.6836801977704,FALSE
12,SampleBalanced,0.01,12.4827025076763,FALSE
12,SampleBalanced128,100,10.1578660810636,TRUE
12,SampleBalanced128,10,10.2221793201573,FALSE
12,SampleBalanced128,1,11.2733778154277,FALSE
12,SampleBalanced128,0.1,11.9724442547548,FALSE
12,SampleBalanced128,0.01,12.2468196196392,FALSE
12,BagMean,100,9.99360860548417,FALSE
12,BagMean,10,9.95441755066069,TRUE
12,BagMean,1,10.2701441607896,FALSE
12,BagMean,0.1,12.779458871372,FALSE
12,BagMean,0.01,11.8221565599652,FALSE
12,BagDistribution,100,9.97423291623926,FALSE
12,BagDistribution,10,9.98658962789984,FALSE
12,BagDistribution,1,10.0483162517275,FALSE
12,BagDistribution,0.1,9.66211622030368,TRUE
12,BagDistribution,0.01,11.4468373920106,FALSE
13,MaterialMedian,100,9.61423728669249,FALSE
13,MaterialMedian,10,9.39189207632195,TRUE
13,MaterialMedian,1,9.88377678328331,FALSE
13,MaterialMedian,0.1,11.0926316886156,FALSE
13,MaterialMedian,0.01,12.3599940529158,FALSE
13,SampleUnweighted,100,10.1182876296666,FALSE
13,SampleUnweighted,10,9.62367264803506,FALSE
13,SampleUnweighted,1,9.94648839903483,FALSE
13,SampleUnweighted,0.1,9.61016804868575,FALSE
13,SampleUnweighted,0.01,8.83734961138051,TRUE
13,SampleMaterialBalanced,100,9.2789555219298,FALSE
13,SampleMaterialBalanced,10,8.67443822248762,TRUE
13,SampleMaterialBalanced,1,9.10366237129312,FALSE
13,SampleMaterialBalanced,0.1,10.6539639950716,FALSE
13,SampleMaterialBalanced,0.01,12.5235280262527,FALSE
13,SampleBalanced,100,9.61886345010728,FALSE
13,SampleBalanced,10,9.41403884534747,FALSE
13,SampleBalanced,1,9.07623838170774,TRUE
13,SampleBalanced,0.1,10.131194545126,FALSE
13,SampleBalanced,0.01,11.1980685969822,FALSE
13,SampleBalanced128,100,9.77980813683354,TRUE
13,SampleBalanced128,10,9.83159924310265,FALSE
13,SampleBalanced128,1,10.7241524131745,FALSE
13,SampleBalanced128,0.1,11.363555990798,FALSE
13,SampleBalanced128,0.01,11.8815587190654,FALSE
13,BagMean,100,9.61962052344053,FALSE
13,BagMean,10,9.43210501621292,FALSE
13,BagMean,1,9.40389988738517,TRUE
13,BagMean,0.1,10.6997143419213,FALSE
13,BagMean,0.01,11.9473272750428,FALSE
13,BagDistribution,100,9.61850830002816,FALSE
13,BagDistribution,10,9.62554109503636,FALSE
13,BagDistribution,1,9.63859026222238,FALSE
13,BagDistribution,0.1,9.02205221326006,TRUE
13,BagDistribution,0.01,10.1960420077146,FALSE
14,MaterialMedian,100,9.70565260300764,FALSE
14,MaterialMedian,10,9.47109126614991,TRUE
14,MaterialMedian,1,10.2435413923995,FALSE
14,MaterialMedian,0.1,12.4339213368972,FALSE
14,MaterialMedian,0.01,12.6336071847787,FALSE
14,SampleUnweighted,100,10.2243728211684,FALSE
14,SampleUnweighted,10,9.79618796918256,FALSE
14,SampleUnweighted,1,10.1343395199417,FALSE
14,SampleUnweighted,0.1,10.0429841598956,FALSE
14,SampleUnweighted,0.01,9.37324941181298,TRUE
14,SampleMaterialBalanced,100,9.36247897121342,FALSE
14,SampleMaterialBalanced,10,8.71844014442486,TRUE
14,SampleMaterialBalanced,1,9.5598900689064,FALSE
14,SampleMaterialBalanced,0.1,11.8199131303146,FALSE
14,SampleMaterialBalanced,0.01,14.5865353961542,FALSE
14,SampleBalanced,100,9.70803717810447,FALSE
14,SampleBalanced,10,9.49037450880942,TRUE
14,SampleBalanced,1,9.70302290137547,FALSE
14,SampleBalanced,0.1,11.9134118281752,FALSE
14,SampleBalanced,0.01,13.3398707830999,FALSE
14,SampleBalanced128,100,9.78191087737889,FALSE
14,SampleBalanced128,10,9.27641674361618,TRUE
14,SampleBalanced128,1,9.30820814009642,FALSE
14,SampleBalanced128,0.1,10.9579179231536,FALSE
14,SampleBalanced128,0.01,12.0913116057915,FALSE
14,BagMean,100,9.70848258496585,FALSE
14,BagMean,10,9.49955837390823,TRUE
14,BagMean,1,10.0703254293967,FALSE
14,BagMean,0.1,13.0326552112746,FALSE
14,BagMean,0.01,14.1710181917137,FALSE
14,BagDistribution,100,9.71606271158382,FALSE
14,BagDistribution,10,9.71855213641904,FALSE
14,BagDistribution,1,9.6963474380985,FALSE
14,BagDistribution,0.1,8.96562433890319,TRUE
14,BagDistribution,0.01,11.2203440088381,FALSE
