GroupID,PXD,SampleGroup,ReferenceKey,ConnGroup,Ensembl,UniProt,Symbol,RNA,ReferenceUniqueAccessions,ProteinDetected,KlaDetected
KLA31_04,PXD046800,adjacent skin,GSE181540_adjacent_NS_input,3,ENSG00000136872,P05062,ALDOB,-1,2205,0,0
KLA31_04,PXD046800,adjacent skin,GSE181540_adjacent_NS_input,3,ENSG00000138030,P50053,KHK,1.9633732152442,2205,0,0
KLA31_04,PXD046800,adjacent skin,GSE181540_adjacent_NS_input,3,ENSG00000141349,Q9BUM1,G6PC3,1.8124411316799,2205,0,0
KLA31_04,PXD046800,adjacent skin,GSE181540_adjacent_NS_input,3,ENSG00000141526,O15427,SLC16A3,1.16338511032236,2205,0,0
KLA31_04,PXD046800,adjacent skin,GSE181540_adjacent_NS_input,3,ENSG00000143158,O95563,MPC2,5.61235298150956,2205,0,0
KLA31_04,PXD046800,adjacent skin,GSE181540_adjacent_NS_input,3,ENSG00000148942,Q1EHB4,SLC5A12,-1,2205,0,0
KLA31_04,PXD046800,adjacent skin,GSE181540_adjacent_NS_input,3,ENSG00000149476,Q3LXA3,TKFC,3.72006053387392,2205,1,0
KLA31_04,PXD046800,adjacent skin,GSE181540_adjacent_NS_input,3,ENSG00000150768,P10515,DLAT,4.43053886075566,2205,1,0
KLA31_04,PXD046800,adjacent skin,GSE181540_adjacent_NS_input,3,ENSG00000152256,Q15118,PDK1,4.44068741547487,2205,0,0
KLA31_04,PXD046800,adjacent skin,GSE181540_adjacent_NS_input,3,ENSG00000155380,P53985,SLC16A1,4.53011223844777,2205,0,0
KLA31_04,PXD046800,adjacent skin,GSE181540_adjacent_NS_input,3,ENSG00000162688,P35573,AGL,4.90926449658792,2205,0,0
KLA31_04,PXD046800,adjacent skin,GSE181540_adjacent_NS_input,3,ENSG00000163541,P53597,SUCLG1,6.13871329964886,2205,1,0
KLA31_04,PXD046800,adjacent skin,GSE181540_adjacent_NS_input,3,ENSG00000164951,Q9P0J1,PDP1,4.5366681273109,2205,0,0
