Model,GroupID,Ensembl,ConnGroup,Observed,InSample,Heldout
Protein_depth,KLA31_04,ENSG00000165140,3,1,0.364160999534222,0.359782774286185
Protein_depth,KLA31_04,ENSG00000166123,3,0,0.364160999534222,0.359782774286185
Protein_depth,KLA31_04,ENSG00000166796,3,0,0.364160999534222,0.359782774286185
Protein_depth,KLA31_04,ENSG00000166816,3,0,0.364160999534222,0.359782774286185
Protein_depth,KLA31_04,ENSG00000167588,3,1,0.364160999534222,0.359782774286185
Protein_depth,KLA31_04,ENSG00000167701,3,0,0.364160999534222,0.359782774286185
Protein_depth,KLA31_04,ENSG00000168291,3,1,0.364160999534222,0.359782774286185
Protein_depth,KLA31_04,ENSG00000170571,3,0,0.364160999534222,0.359782774286185
Protein_depth,KLA31_04,ENSG00000172270,3,0,0.364160999534222,0.359782774286185
Protein_depth,KLA31_04,ENSG00000172340,3,1,0.364160999534222,0.359782774286185
Protein_depth,KLA31_04,ENSG00000172840,3,0,0.364160999534222,0.359782774286185
Protein_depth,KLA31_04,ENSG00000173599,3,0,0.364160999534222,0.359782774286185
Protein_depth,KLA31_04,ENSG00000198814,3,0,0.364160999534222,0.359782774286185
Protein_depth,KLA31_04,ENSG00000256870,3,0,0.364160999534222,0.359782774286185
Protein_depth,KLA31_05,ENSG00000004799,4,0,0.618982561484162,0.61493525357072
Protein_depth,KLA31_05,ENSG00000005882,4,1,0.618982561484162,0.61493525357072
Protein_depth,KLA31_05,ENSG00000060762,4,1,0.618982561484162,0.61493525357072
Protein_depth,KLA31_05,ENSG00000063854,4,1,0.618982561484162,0.61493525357072
Protein_depth,KLA31_05,ENSG00000067992,4,1,0.618982561484162,0.61493525357072
Protein_depth,KLA31_05,ENSG00000068976,4,1,0.618982561484162,0.61493525357072
Protein_depth,KLA31_05,ENSG00000079739,4,1,0.618982561484162,0.61493525357072
Protein_depth,KLA31_05,ENSG00000090861,4,1,0.618982561484162,0.61493525357072
Protein_depth,KLA31_05,ENSG00000091140,4,1,0.618982561484162,0.61493525357072
Protein_depth,KLA31_05,ENSG00000100156,4,0,0.618982561484162,0.61493525357072
Protein_depth,KLA31_05,ENSG00000100504,4,1,0.618982561484162,0.61493525357072
Protein_depth,KLA31_05,ENSG00000100889,4,1,0.618982561484162,0.61493525357072
Protein_depth,KLA31_05,ENSG00000100994,4,1,0.618982561484162,0.61493525357072
Protein_depth,KLA31_05,ENSG00000111716,4,1,0.618982561484162,0.61493525357072
Protein_depth,KLA31_05,ENSG00000115159,4,1,0.618982561484162,0.61493525357072
Protein_depth,KLA31_05,ENSG00000118596,4,1,0.618982561484162,0.61493525357072
Protein_depth,KLA31_05,ENSG00000124253,4,0,0.618982561484162,0.61493525357072
Protein_depth,KLA31_05,ENSG00000124608,4,1,0.618982561484162,0.61493525357072
Protein_depth,KLA31_05,ENSG00000124767,4,1,0.618982561484162,0.61493525357072
Protein_depth,KLA31_05,ENSG00000130957,4,0,0.618982561484162,0.61493525357072
Protein_depth,KLA31_05,ENSG00000131069,4,1,0.618982561484162,0.61493525357072
Protein_depth,KLA31_05,ENSG00000131482,4,0,0.618982561484162,0.61493525357072
Protein_depth,KLA31_05,ENSG00000131828,4,1,0.618982561484162,0.61493525357072
Protein_depth,KLA31_05,ENSG00000134333,4,1,0.618982561484162,0.61493525357072
Protein_depth,KLA31_05,ENSG00000136872,4,0,0.618982561484162,0.61493525357072
Protein_depth,KLA31_05,ENSG00000138030,4,0,0.618982561484162,0.61493525357072
Protein_depth,KLA31_05,ENSG00000141349,4,0,0.618982561484162,0.61493525357072
Protein_depth,KLA31_05,ENSG00000141526,4,0,0.618982561484162,0.61493525357072
Protein_depth,KLA31_05,ENSG00000143158,4,1,0.618982561484162,0.61493525357072
Protein_depth,KLA31_05,ENSG00000148942,4,0,0.618982561484162,0.61493525357072
Protein_depth,KLA31_05,ENSG00000149476,4,1,0.618982561484162,0.61493525357072
Protein_depth,KLA31_05,ENSG00000150768,4,1,0.618982561484162,0.61493525357072
Protein_depth,KLA31_05,ENSG00000152256,4,1,0.618982561484162,0.61493525357072
Protein_depth,KLA31_05,ENSG00000155380,4,1,0.618982561484162,0.61493525357072
Protein_depth,KLA31_05,ENSG00000162688,4,1,0.618982561484162,0.61493525357072
Protein_depth,KLA31_05,ENSG00000163541,4,1,0.618982561484162,0.61493525357072
Protein_depth,KLA31_05,ENSG00000164951,4,1,0.618982561484162,0.61493525357072
Protein_depth,KLA31_05,ENSG00000165140,4,1,0.618982561484162,0.61493525357072
Protein_depth,KLA31_05,ENSG00000166123,4,1,0.618982561484162,0.61493525357072
Protein_depth,KLA31_05,ENSG00000166796,4,0,0.618982561484162,0.61493525357072
Protein_depth,KLA31_05,ENSG00000166816,4,1,0.618982561484162,0.61493525357072
Protein_depth,KLA31_05,ENSG00000167588,4,1,0.618982561484162,0.61493525357072
Protein_depth,KLA31_05,ENSG00000167701,4,1,0.618982561484162,0.61493525357072
Protein_depth,KLA31_05,ENSG00000168291,4,1,0.618982561484162,0.61493525357072
Protein_depth,KLA31_05,ENSG00000170571,4,0,0.618982561484162,0.61493525357072
Protein_depth,KLA31_05,ENSG00000172270,4,1,0.618982561484162,0.61493525357072
Protein_depth,KLA31_05,ENSG00000172340,4,1,0.618982561484162,0.61493525357072
Protein_depth,KLA31_05,ENSG00000172840,4,0,0.618982561484162,0.61493525357072
Protein_depth,KLA31_05,ENSG00000173599,4,1,0.618982561484162,0.61493525357072
Protein_depth,KLA31_05,ENSG00000198814,4,1,0.618982561484162,0.61493525357072
Protein_depth,KLA31_05,ENSG00000256870,4,0,0.618982561484162,0.61493525357072
Protein_depth,KLA31_06,ENSG00000004799,2,1,0.74646261615533,0.774359916937539
Protein_depth,KLA31_06,ENSG00000005882,2,1,0.74646261615533,0.774359916937539
Protein_depth,KLA31_06,ENSG00000060762,2,1,0.74646261615533,0.774359916937539
Protein_depth,KLA31_06,ENSG00000063854,2,1,0.74646261615533,0.774359916937539
Protein_depth,KLA31_06,ENSG00000067992,2,0,0.74646261615533,0.774359916937539
Protein_depth,KLA31_06,ENSG00000068976,2,0,0.74646261615533,0.774359916937539
Protein_depth,KLA31_06,ENSG00000079739,2,1,0.74646261615533,0.774359916937539
Protein_depth,KLA31_06,ENSG00000090861,2,1,0.74646261615533,0.774359916937539
Protein_depth,KLA31_06,ENSG00000091140,2,1,0.74646261615533,0.774359916937539
Protein_depth,KLA31_06,ENSG00000100156,2,0,0.74646261615533,0.774359916937539
Protein_depth,KLA31_06,ENSG00000100504,2,1,0.74646261615533,0.774359916937539
Protein_depth,KLA31_06,ENSG00000100889,2,1,0.74646261615533,0.774359916937539
Protein_depth,KLA31_06,ENSG00000100994,2,1,0.74646261615533,0.774359916937539
Protein_depth,KLA31_06,ENSG00000111716,2,1,0.74646261615533,0.774359916937539
Protein_depth,KLA31_06,ENSG00000115159,2,1,0.74646261615533,0.774359916937539
Protein_depth,KLA31_06,ENSG00000118596,2,0,0.74646261615533,0.774359916937539
Protein_depth,KLA31_06,ENSG00000124253,2,0,0.74646261615533,0.774359916937539
Protein_depth,KLA31_06,ENSG00000124608,2,1,0.74646261615533,0.774359916937539
Protein_depth,KLA31_06,ENSG00000124767,2,1,0.74646261615533,0.774359916937539
Protein_depth,KLA31_06,ENSG00000130957,2,0,0.74646261615533,0.774359916937539
Protein_depth,KLA31_06,ENSG00000131069,2,1,0.74646261615533,0.774359916937539
Protein_depth,KLA31_06,ENSG00000131482,2,0,0.74646261615533,0.774359916937539
Protein_depth,KLA31_06,ENSG00000131828,2,1,0.74646261615533,0.774359916937539
Protein_depth,KLA31_06,ENSG00000134333,2,1,0.74646261615533,0.774359916937539
Protein_depth,KLA31_06,ENSG00000136872,2,0,0.74646261615533,0.774359916937539
Protein_depth,KLA31_06,ENSG00000138030,2,0,0.74646261615533,0.774359916937539
Protein_depth,KLA31_06,ENSG00000141349,2,1,0.74646261615533,0.774359916937539
Protein_depth,KLA31_06,ENSG00000141526,2,1,0.74646261615533,0.774359916937539
Protein_depth,KLA31_06,ENSG00000143158,2,1,0.74646261615533,0.774359916937539
Protein_depth,KLA31_06,ENSG00000148942,2,0,0.74646261615533,0.774359916937539
Protein_depth,KLA31_06,ENSG00000149476,2,1,0.74646261615533,0.774359916937539
Protein_depth,KLA31_06,ENSG00000150768,2,1,0.74646261615533,0.774359916937539
Protein_depth,KLA31_06,ENSG00000152256,2,1,0.74646261615533,0.774359916937539
Protein_depth,KLA31_06,ENSG00000155380,2,1,0.74646261615533,0.774359916937539
Protein_depth,KLA31_06,ENSG00000162688,2,1,0.74646261615533,0.774359916937539
Protein_depth,KLA31_06,ENSG00000163541,2,1,0.74646261615533,0.774359916937539
Protein_depth,KLA31_06,ENSG00000164951,2,1,0.74646261615533,0.774359916937539
Protein_depth,KLA31_06,ENSG00000165140,2,1,0.74646261615533,0.774359916937539
Protein_depth,KLA31_06,ENSG00000166123,2,0,0.74646261615533,0.774359916937539
Protein_depth,KLA31_06,ENSG00000166796,2,0,0.74646261615533,0.774359916937539
Protein_depth,KLA31_06,ENSG00000166816,2,0,0.74646261615533,0.774359916937539
