UniProt,Term,AnnotationID,Qualifier,AnnotatedGO,Evidence,ECO,Reference,Taxon,AssignedBy,AnnotationDate,SourceSymbol,ExcludedNOT,DirectAnnotation,Ensembl,Entrez,Symbol,Experimental,CommonMatrix
A0ACI8TA64,GO:0006099,UniProtKB:A0ACI8TA64!325449689,involved_in,GO:0006099,IEA,ECO:0000256,GO_REF:0000002,9606,InterPro,20260727,SDHA,FALSE,TRUE,ENSG00000073578,,SDHA,FALSE,TRUE
A0ACI8TA79,GO:0006096,UniProtKB:A0ACI8TA79!295576602,involved_in,GO:0006096,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PGK1,FALSE,TRUE,ENSG00000102144,,PGK1,FALSE,TRUE
A0ACI8TBD9,GO:0006099,UniProtKB:A0ACI8TBD9!325449775,involved_in,GO:0006099,IEA,ECO:0000256,GO_REF:0000002,9606,InterPro,20260727,SDHB,FALSE,TRUE,ENSG00000117118,,SDHB,FALSE,TRUE
A0ACI8TFA8,GO:0006096,UniProtKB:A0ACI8TFA8!146204382,involved_in,GO:0006096,IEA,ECO:0000256,GO_REF:0000002,9606,InterPro,20260727,ENO3,FALSE,TRUE,ENSG00000108515,,ENO3,FALSE,TRUE
A0ACI8TFF4,GO:0006096,UniProtKB:A0ACI8TFF4!86432844,involved_in,GO:0006096,IEA,ECO:0000256,GO_REF:0000002,9606,InterPro,20260727,ENO3,FALSE,TRUE,ENSG00000108515,,ENO3,FALSE,TRUE
A0ACI8TJT2,GO:0006099,UniProtKB:A0ACI8TJT2!385174143,involved_in,GO:0006099,IEA,ECO:0000256,GO_REF:0000002,9606,InterPro,20260727,MDH2,FALSE,TRUE,ENSG00000146701,,MDH2,FALSE,TRUE
A0ACI8TK77,GO:0006099,UniProtKB:A0ACI8TK77!474797958,involved_in,GO:0006099,IEA,ECO:0000256,GO_REF:0000002,9606,InterPro,20260727,MDH2,FALSE,TRUE,ENSG00000146701,,MDH2,FALSE,TRUE
A0ACI8TKA7,GO:0006099,UniProtKB:A0ACI8TKA7!444945089,involved_in,GO:0006099,IEA,ECO:0000256,GO_REF:0000002,9606,InterPro,20260727,MDH2,FALSE,TRUE,ENSG00000146701,,MDH2,FALSE,TRUE
A0ACI8TNQ6,GO:0006096,UniProtKB:A0ACI8TNQ6!385174493,involved_in,GO:0006096,IEA,ECO:0000256,GO_REF:0000104,9606,UniProt,20260727,ADPGK,FALSE,TRUE,ENSG00000159322,,ADPGK,FALSE,TRUE
A0ACI8TNQ8,GO:0006096,UniProtKB:A0ACI8TNQ8!205924588,involved_in,GO:0006096,IEA,ECO:0000256,GO_REF:0000104,9606,UniProt,20260727,ADPGK,FALSE,TRUE,ENSG00000159322,,ADPGK,FALSE,TRUE
A0ACI8TNT4,GO:0006099,UniProtKB:A0ACI8TNT4!116329505,involved_in,GO:0006099,IEA,ECO:0000256,GO_REF:0000002,9606,InterPro,20260727,FH,FALSE,TRUE,ENSG00000091483,,FH,FALSE,TRUE
A0ACI8TPN7,GO:0006096,UniProtKB:A0ACI8TPN7!86433658,enables,GO:0004743,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PKM,FALSE,FALSE,ENSG00000067225,,PKM,FALSE,TRUE
A0ACI8TPN7,GO:0006096,UniProtKB:A0ACI8TPN7!86433660,involved_in,GO:0006096,IEA,ECO:0000256,GO_REF:0000002,9606,InterPro,20260727,PKM,FALSE,TRUE,ENSG00000067225,,PKM,FALSE,TRUE
A0ACI8TPP9,GO:0006096,UniProtKB:A0ACI8TPP9!116329546,enables,GO:0004743,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PKM,FALSE,FALSE,ENSG00000067225,,PKM,FALSE,TRUE
A0ACI8TPP9,GO:0006096,UniProtKB:A0ACI8TPP9!116329548,involved_in,GO:0006096,IEA,ECO:0000256,GO_REF:0000002,9606,InterPro,20260727,PKM,FALSE,TRUE,ENSG00000067225,,PKM,FALSE,TRUE
A0ACI8TPQ8,GO:0006096,UniProtKB:A0ACI8TPQ8!116329552,enables,GO:0004743,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PKM,FALSE,FALSE,ENSG00000067225,,PKM,FALSE,TRUE
A0ACI8TPQ8,GO:0006096,UniProtKB:A0ACI8TPQ8!116329554,involved_in,GO:0006096,IEA,ECO:0000256,GO_REF:0000002,9606,InterPro,20260727,PKM,FALSE,TRUE,ENSG00000067225,,PKM,FALSE,TRUE
A0ACI8TPR7,GO:0006096,UniProtKB:A0ACI8TPR7!415067625,enables,GO:0004743,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PKM,FALSE,FALSE,ENSG00000067225,,PKM,FALSE,TRUE
A0ACI8TPR7,GO:0006096,UniProtKB:A0ACI8TPR7!415067627,involved_in,GO:0006096,IEA,ECO:0000256,GO_REF:0000002,9606,InterPro,20260727,PKM,FALSE,TRUE,ENSG00000067225,,PKM,FALSE,TRUE
A0ACI8TPV6,GO:0006096,UniProtKB:A0ACI8TPV6!176047661,enables,GO:0004743,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PKM,FALSE,FALSE,ENSG00000067225,,PKM,FALSE,TRUE
A0ACI8TPV6,GO:0006096,UniProtKB:A0ACI8TPV6!176047663,involved_in,GO:0006096,IEA,ECO:0000256,GO_REF:0000002,9606,InterPro,20260727,PKM,FALSE,TRUE,ENSG00000067225,,PKM,FALSE,TRUE
A0ACI8TPY3,GO:0006096,UniProtKB:A0ACI8TPY3!86433702,enables,GO:0004743,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PKM,FALSE,FALSE,ENSG00000067225,,PKM,FALSE,TRUE
A0ACI8TPY3,GO:0006096,UniProtKB:A0ACI8TPY3!86433704,involved_in,GO:0006096,IEA,ECO:0000256,GO_REF:0000002,9606,InterPro,20260727,PKM,FALSE,TRUE,ENSG00000067225,,PKM,FALSE,TRUE
