Term,AnnotationID,UniProt,Qualifier,AnnotatedGO,Evidence,ECO,Reference,Taxon,AssignedBy,AnnotationDate,SourceSymbol,ExcludedNOT,DirectAnnotation
GO:0006096,UniProtKB:A0ACI8S0F6!265709210,A0ACI8S0F6,enables,GO:0003872,IEA,ECO:0000256,GO_REF:0000002,9606,InterPro,20260727,PFKL,FALSE,FALSE
GO:0006096,UniProtKB:A0ACI8S0F6!265709213,A0ACI8S0F6,involved_in,GO:0006096,IEA,ECO:0000256,GO_REF:0000002,9606,InterPro,20260727,PFKL,FALSE,TRUE
GO:0006096,UniProtKB:A0ACI8S168!86428688,A0ACI8S168,enables,GO:0003872,IEA,ECO:0000256,GO_REF:0000002,9606,InterPro,20260727,PFKP,FALSE,FALSE
GO:0006096,UniProtKB:A0ACI8S168!86428691,A0ACI8S168,involved_in,GO:0006096,IEA,ECO:0000256,GO_REF:0000002,9606,InterPro,20260727,PFKP,FALSE,TRUE
GO:0006096,UniProtKB:A0ACI8S2A6!444940360,A0ACI8S2A6,involved_in,GO:0006096,IEA,ECO:0000256,GO_REF:0000002,9606,InterPro,20260727,ENO1,FALSE,TRUE
GO:0006096,UniProtKB:A0ACI8S2Q2!26686770,A0ACI8S2Q2,enables,GO:0003872,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PFKL,FALSE,FALSE
GO:0006096,UniProtKB:A0ACI8S2Q2!26686773,A0ACI8S2Q2,involved_in,GO:0006096,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PFKL,FALSE,TRUE
GO:0006096,UniProtKB:A0ACI8S674!26687098,A0ACI8S674,enables,GO:0003872,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PFKL,FALSE,FALSE
GO:0006096,UniProtKB:A0ACI8S674!26687101,A0ACI8S674,involved_in,GO:0006096,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PFKL,FALSE,TRUE
GO:0006096,UniProtKB:A0ACI8S675!444940664,A0ACI8S675,involved_in,GO:0006096,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PGK1,FALSE,TRUE
