ConnGroup,dropped_train_group,Model,N,Pos,AP_new,LogLoss_new,Brier_new,ROC_new,AP_orig,LogLoss_orig,Brier_orig,ROC_orig,diff_AP,diff_LogLoss,diff_Brier,diff_ROC
12,1,ME_P,303,228,0.91280899428821,0.980473298376307,0.357172606654104,0.76327485380117,0.914536113686531,0.992882047418664,0.359573026389496,0.767076023391813,-0.00172711939832082,-0.0124087490423574,-0.00240041973539179,-0.00380116959064347
13,1,ME_P,175,86,0.858529065193291,0.487665801537505,0.157701049716163,0.880977266788607,0.853248456413857,0.486345049964339,0.158073574935433,0.877711000783904,0.00528060877943426,0.00132075157316602,-0.000372525219269615,0.00326626600470326
14,1,ME_P,177,28,0.666471806597873,0.534512754984657,0.178630922488723,0.911313518696069,0.664776908094356,0.523539779084723,0.174492126200586,0.912032598274209,0.00169489850351701,0.0109729758999336,0.00413879628813724,-0.000719079578139992
15,1,ME_P,627,384,0.879684273331503,0.71047670233905,0.254035435908593,0.813989626200274,0.880395830327317,0.714422671215809,0.254759841038867,0.815554269547325,-0.000711556995813711,-0.00394596887675958,-0.000724405130273886,-0.00156464334705064
16,1,ME_P,193,90,0.799164382393517,0.553680297935706,0.18526236813634,0.797087378640777,0.791053707368294,0.559700332174447,0.187891187690379,0.789859762675297,0.00811067502522289,-0.00602003423874109,-0.00262881955403888,0.00722761596547972
17,1,ME_P,287,141,0.915534045456326,0.486247985615053,0.155780852635966,0.911056057514816,0.915368394369211,0.488718009321256,0.156924670941088,0.911007480812203,0.000165651087114971,-0.00247002370620253,-0.00114381830512236,4.85767026129347e-05
18,1,ME_P,432,230,0.900051371466139,0.527102714035378,0.174735796145947,0.886655187257856,0.901664370465652,0.530053269908332,0.175932241519331,0.887171760654326,-0.00161299899951339,-0.00295055587295434,-0.00119644537338431,-0.000516573396469822
19,1,ME_P,323,172,0.862415753703232,0.59376610839158,0.202883265869722,0.826774988449099,0.862206266999923,0.593684127782039,0.202973256543068,0.825773910365009,0.00020948670330867,8.19806095408993e-05,-8.99906733460021e-05,0.00100107808409
2,1,ME2P,280,21,0.674052159237046,0.474481643528437,0.152818574425589,0.927376355947785,0.666659952205726,0.46765464740917,0.150249726393829,0.927376355947785,0.00739220703132026,0.00682699611926646,0.00256884803176025,-4.44089209850063e-16
3,1,ME2P,146,39,0.613138058889231,0.600024781194973,0.206577206686991,0.8058950395399,0.622881023257221,0.602599537877383,0.207323076786502,0.807093218308172,-0.0097429643679896,-0.00257475668240958,-0.000745870099511159,-0.00119817876827266
4,1,ME2P,146,25,0.507212075302729,0.544187918063697,0.184176863079732,0.775206611570248,0.532762714618409,0.542275066862308,0.18365210426285,0.778512396694215,-0.0255506393156797,0.00191285120138884,0.000524758816882076,-0.00330578512396706
5,1,ME2P,228,8,0.303204930133553,0.567576209522061,0.19411281479194,0.816477272727273,0.290435885707201,0.570063811692634,0.195424565406249,0.810795454545455,0.012769044426352,-0.00248760217057265,-0.00131175061430866,0.00568181818181779
6,1,ME2P,276,5,0.0519811384382813,0.846466626712336,0.305465144016459,0.718819188191882,0.0513741718257847,0.837213590922828,0.300048782287087,0.718819188191882,0.000606966612496589,0.00925303578950809,0.00541636172937232,0
7,1,ME2P,561,257,0.826502328479146,0.539632571482295,0.179323706367364,0.828486586115093,0.824259837328525,0.541655543754828,0.180382128693697,0.826323469178784,0.00224249115062125,-0.00202297227253301,-0.00105842232633341,0.00216311693630922
8,1,ME2P,320,157,0.82367301545029,0.566472390813338,0.190639027375347,0.798405689500215,0.821353721207088,0.571504422505245,0.192837781899433,0.796061115235825,0.00231929424320188,-0.00503203169190714,-0.00219875452408588,0.00234457426438994
9,1,ME2P,288,82,0.652996156749687,0.512703264730206,0.167761938722158,0.798484489699266,0.653635153532495,0.510822465365798,0.166902240823523,0.801326071513142,-0.000638996782808432,0.00188079936440799,0.000859697898634687,-0.00284158181387606
10,1,ME2P,677,358,0.921112934869718,0.476872805198855,0.15173718372888,0.917891105234584,0.92328863847133,0.477140656414924,0.151993094009755,0.919633631635173,-0.00217570360161223,-0.000267851216069037,-0.000255910280874766,-0.0017425264005887
