ReferenceKey,Ensembl,QsmoothA,UnsmoothedLog2TPM,Symbol,GroupID,Samples,SharedReference,RowOrder,PXD,SampleGroup,Category,KlaLabelEn,RNALabel,PlotLabel,GeneZ
GSE103520_MCF10A_control,ENSG00000160883,-0.950254601109377,-0.950254601109377,HK3,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-0.644790057507177
GSE103520_MCF10A_control,ENSG00000162688,2.20608709432874,2.20608709432874,AGL,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-1.58434953171718
GSE103520_MCF10A_control,ENSG00000163541,3.51158752399811,3.51158752399811,SUCLG1,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-1.82507675736254
GSE103520_MCF10A_control,ENSG00000164951,1.73544173045514,1.73544173045514,PDP1,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-1.1842237688949
GSE103520_MCF10A_control,ENSG00000165140,-0.999999962210558,-1,FBP1,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-0.961656137391874
GSE103520_MCF10A_control,ENSG00000166123,2.35160918414896,2.35160918414896,GPT2,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-1.41726513062005
GSE103520_MCF10A_control,ENSG00000166411,3.0249542073407,3.0249542073407,IDH3A,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-0.705881779339237
GSE103520_MCF10A_control,ENSG00000166796,-0.999999962210558,-1,LDHC,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-0.488004832453125
GSE103520_MCF10A_control,ENSG00000166800,-0.498612568096217,-0.498612568096217,LDHAL6A,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-0.0542843739597565
GSE103520_MCF10A_control,ENSG00000166816,-0.904930286945796,-0.904930286945796,LDHD,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-1.39239104788975
GSE103520_MCF10A_control,ENSG00000167588,-0.989189852464004,-0.989189852464004,GPD1,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-0.894385940148372
GSE103520_MCF10A_control,ENSG00000167701,-0.670743526398155,-0.670743526398155,GPT,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-0.894285291024693
GSE103520_MCF10A_control,ENSG00000167985,3.11571249877213,3.11571249877213,SDHAF2,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-1.60919750038329
GSE103520_MCF10A_control,ENSG00000168291,3.31493076770332,3.31493076770332,PDHB,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-1.42011647148661
GSE103520_MCF10A_control,ENSG00000170525,1.11852029837788,1.11852029837788,PFKFB3,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-1.80705876705104
GSE103520_MCF10A_control,ENSG00000170571,4.13908830046576,4.13908830046576,EMB,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,0.313737014045919
GSE103520_MCF10A_control,ENSG00000170950,-0.834665377965901,-0.834665377965901,PGK2,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-0.105967285625956
GSE103520_MCF10A_control,ENSG00000171314,3.45111392023432,3.45111392023432,PGAM1,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-1.97483563163176
GSE103520_MCF10A_control,ENSG00000171989,-0.60813102511542,-0.60813102511542,LDHAL6B,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-0.0244918624497978
GSE103520_MCF10A_control,ENSG00000172270,5.02927950344489,5.02927950344489,BSG,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-2.1328530747416
GSE103520_MCF10A_control,ENSG00000172331,1.4625538645093,1.4625538645093,BPGM,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-1.81156816080367
GSE103520_MCF10A_control,ENSG00000172340,3.72940164653964,3.72940164653964,SUCLG2,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-1.65305421236864
GSE103520_MCF10A_control,ENSG00000172840,1.73727561209214,1.73727561209214,PDP2,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-1.1282277345708
GSE103520_MCF10A_control,ENSG00000173599,0.423128840206905,0.423128840206905,PC,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-1.89383392883619
GSE103520_MCF10A_control,ENSG00000175567,-0.919581262555298,-0.919581262555298,UCP2,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-2.67506063963946
GSE103520_MCF10A_control,ENSG00000180902,0.705019906222846,0.705019906222846,D2HGDH,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-1.97828329099
GSE103520_MCF10A_control,ENSG00000182054,0.483666907582581,0.483666907582581,IDH2,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-3.34666185296642
