Ensembl,ReferenceKey,SampleN,MedianB,Q25,Q75,Min,Max
ENSG00000143627,GSE103520_MCF10A_control,3,-0.811450746401753,-0.831381053475398,-0.779376868028618,-0.851311360549042,-0.747302989655483
ENSG00000146701,GSE103520_MCF10A_control,3,5.57039841690902,5.53134539255811,5.63115166592384,5.4922923682072,5.69190491493865
ENSG00000148942,GSE103520_MCF10A_control,3,-0.941433560691579,-0.950555673232507,-0.924149099022159,-0.959677785773435,-0.90686463735274
ENSG00000149476,GSE103520_MCF10A_control,3,1.66894015344184,1.65284349754491,1.70060805378252,1.63674684164798,1.7322759541232
ENSG00000149925,GSE103520_MCF10A_control,3,6.93172497794592,6.93172497794592,6.94093582020233,6.93172497794592,6.95014666245873
ENSG00000150768,GSE103520_MCF10A_control,3,3.62518406824651,3.62420471569385,3.6719475204909,3.62322536314119,3.71871097273529
ENSG00000152254,GSE103520_MCF10A_control,3,-0.959677785773435,-0.976531102649517,-0.915250583616361,-0.993384419525598,-0.870823381459288
ENSG00000152256,GSE103520_MCF10A_control,3,2.23227038999234,2.22893355588185,2.26976038610404,2.22559672177137,2.30725038221574
ENSG00000152556,GSE103520_MCF10A_control,3,2.95564305729803,2.93537824777143,3.03706728172475,2.91511343824483,3.11849150615146
ENSG00000154079,GSE103520_MCF10A_control,3,0.895760048973805,0.84722136867649,1.01173978680813,0.798682688379174,1.12771952464246
ENSG00000155380,GSE103520_MCF10A_control,3,4.98004903149194,4.90712687126568,5.05220793507757,4.83420471103942,5.12436683866319
ENSG00000156510,GSE103520_MCF10A_control,3,-0.776329955248471,-0.884857187387035,-0.768206156433668,-0.993384419525598,-0.760082357618864
ENSG00000156515,GSE103520_MCF10A_control,3,3.33201271971618,3.26382637348792,3.36045879235435,3.19564002725965,3.38890486499252
ENSG00000158571,GSE103520_MCF10A_control,3,-0.31530946849813,-0.34301151849223,-0.273722891706151,-0.37071356848633,-0.232136314914172
ENSG00000159322,GSE103520_MCF10A_control,3,2.5047013189009,2.49644231694284,2.52821985303127,2.48818331498477,2.55173838716163
ENSG00000159399,GSE103520_MCF10A_control,3,4.09778910400489,4.0675977255114,4.15824036332857,4.03740634701791,4.21869162265225
ENSG00000160741,GSE103520_MCF10A_control,3,2.84885591955333,2.69934783125265,2.99915628079481,2.54983974295196,3.14945664203628
ENSG00000160883,GSE103520_MCF10A_control,3,-0.710825057108266,-0.852104738316932,-0.674892936437634,-0.993384419525598,-0.638960815767002
ENSG00000162688,GSE103520_MCF10A_control,3,2.80324454533594,2.78661119009491,2.82493444781121,2.76997783485388,2.84662435028647
ENSG00000163541,GSE103520_MCF10A_control,3,4.27327236001351,4.21036822224111,4.30563123356735,4.14746408446871,4.33799010712118
ENSG00000164951,GSE103520_MCF10A_control,3,2.34843756426507,2.3157575640592,2.35851529128166,2.28307756385333,2.36859301829825
ENSG00000165140,GSE103520_MCF10A_control,3,-0.959677785773435,-0.97012003145544,-0.582691865047284,-0.980562277137445,-0.205705944321133
ENSG00000166123,GSE103520_MCF10A_control,3,3.08571539784679,2.97554848612039,3.09994377383686,2.86538157439399,3.11417214982693
ENSG00000166411,GSE103520_MCF10A_control,3,3.63614296937171,3.55675962074454,3.70471087435837,3.47737627211736,3.77327877934502
ENSG00000166796,GSE103520_MCF10A_control,3,-0.959677785773435,-0.97012003145544,-0.897351209931496,-0.980562277137445,-0.835024634089557
ENSG00000166800,GSE103520_MCF10A_control,3,0.0457162573482038,-0.144848738176145,0.0674413064756254,-0.335413733700493,0.089166355603047
ENSG00000166816,GSE103520_MCF10A_control,3,-0.575065946343761,-0.767371866058598,-0.450784987616677,-0.959677785773435,-0.326504028889593
ENSG00000167588,GSE103520_MCF10A_control,3,-0.87673605277854,-0.909245118046726,-0.858039505720294,-0.941754183314911,-0.839342958662048
ENSG00000167701,GSE103520_MCF10A_control,3,-0.210457916143854,-0.536859395184633,-0.169104248325991,-0.863260874225413,-0.127750580508127
ENSG00000167985,GSE103520_MCF10A_control,3,3.75143345278027,3.65095877567356,3.81482746015127,3.55048409856684,3.87822146752226
ENSG00000168291,GSE103520_MCF10A_control,3,3.96226281667453,3.9582333397828,3.97976174263424,3.95420386289106,3.99726066859394
ENSG00000170525,GSE103520_MCF10A_control,3,1.72963120177182,1.67234915900374,1.76100446708255,1.61506711623565,1.79237773239328
ENSG00000170571,GSE103520_MCF10A_control,3,4.8407628495123,4.74594533963054,4.9038455291912,4.65112782974877,4.9669282088701
ENSG00000170950,GSE103520_MCF10A_control,3,-0.505337918567368,-0.580430821527115,-0.413668179832675,-0.655523724486862,-0.321998441097982
ENSG00000171314,GSE103520_MCF10A_control,3,4.18551356329511,4.13688997195601,4.22017719324259,4.08826638061691,4.25484082319006
ENSG00000171989,GSE103520_MCF10A_control,3,-0.104645214775182,-0.184554460870069,-0.079702582295297,-0.264463706964956,-0.0547599498154119
ENSG00000172270,GSE103520_MCF10A_control,3,5.7894531625248,5.76581390447739,5.83663625725067,5.74217464642998,5.88381935197654
ENSG00000172331,GSE103520_MCF10A_control,3,2.19798132427676,2.12031972877915,2.21247793602001,2.04265813328154,2.22697454776325
ENSG00000172340,GSE103520_MCF10A_control,3,4.41804636025349,4.38548505101094,4.50766992294171,4.35292374176839,4.59729348562993
ENSG00000172840,GSE103520_MCF10A_control,3,2.47308790813425,2.41206097068871,2.56905040601611,2.35103403324317,2.66501290389796
ENSG00000173599,GSE103520_MCF10A_control,3,1.13768312559953,1.04619418406068,1.19384082869404,0.954705242521825,1.24999853178854
ENSG00000175567,GSE103520_MCF10A_control,3,-0.611765155929954,-0.785721470851694,-0.511647022348751,-0.959677785773435,-0.411528888767549
ENSG00000180902,GSE103520_MCF10A_control,3,1.3076828476113,1.25618346504553,1.41275252091064,1.20468408247976,1.51782219420997
ENSG00000182054,GSE103520_MCF10A_control,3,1.13488883642198,1.06802030809555,1.16966686371386,1.00115177976911,1.20444489100574
ENSG00000183048,GSE103520_MCF10A_control,3,0.93386219581211,0.673309447710884,0.941565777766801,0.412756699609657,0.949269359721492
ENSG00000188316,GSE103520_MCF10A_control,3,0.370964951451977,0.340422633600689,0.398870230999005,0.309880315749402,0.426775510546032
ENSG00000197444,GSE103520_MCF10A_control,3,-0.911731752991489,-0.946147015064467,-0.837627674148241,-0.980562277137445,-0.763523595304992
ENSG00000198814,GSE103520_MCF10A_control,3,1.14014313411189,1.11300859438078,1.32347049576646,1.08587405464968,1.50679785742103
ENSG00000204370,GSE103520_MCF10A_control,3,5.10906486442851,5.03062779458338,5.23049007734774,4.95219072473825,5.35191529026696
ENSG00000214756,GSE103520_MCF10A_control,3,1.31154618409262,1.27851883511768,1.32982222936215,1.24549148614274,1.34809827463168
ENSG00000226784,GSE103520_MCF10A_control,3,4.24235443474813,4.16409134817391,4.26842630306009,4.08582826159968,4.29449817137205
ENSG00000256870,GSE103520_MCF10A_control,3,-0.959677785773435,-0.97012003145544,-0.952460592781971,-0.980562277137445,-0.945243399790507
ENSG00000004799,GSE114691_control_placenta,21,6.36226450682991,5.75920180726283,6.92229007320558,4.60750756272107,7.45455684520766
ENSG00000004864,GSE114691_control_placenta,21,4.02547018487076,3.79819651939999,4.10468362808513,3.67401680932646,4.28571144843039
ENSG00000005882,GSE114691_control_placenta,21,3.14343181170671,2.97850456935151,3.39892134985088,2.5638398074122,3.80169760781101
