ConnGroup,LogLoss,Model,Candidate,InnerFold,OuterGroup
18,0.654655721759804,SHRINK_CAL,group_8,2,2
19,0.700234507427593,SHRINK_CAL,group_8,2,2
5,0.671342286053709,SHRINK,group_8,3,2
6,0.668594756586265,SHRINK,group_8,3,2
9,0.590553885191034,SHRINK,group_8,3,2
14,0.613133207149525,SHRINK,group_8,3,2
5,0.633301232594592,SHRINK_CAL,group_8,3,2
6,0.629285675512414,SHRINK_CAL,group_8,3,2
9,0.564122546728082,SHRINK_CAL,group_8,3,2
14,0.575859137396905,SHRINK_CAL,group_8,3,2
1,0.522703876709245,SHRINK,group_8,4,2
3,0.558367075613002,SHRINK,group_8,4,2
10,0.515347786722444,SHRINK,group_8,4,2
1,0.504832988066923,SHRINK_CAL,group_8,4,2
3,0.54482049214741,SHRINK_CAL,group_8,4,2
10,0.519385385827679,SHRINK_CAL,group_8,4,2
11,0.572454608995806,SHRINK,group_8,5,2
16,0.584904360984013,SHRINK,group_8,5,2
17,0.548728220240157,SHRINK,group_8,5,2
11,0.56183167163907,SHRINK_CAL,group_8,5,2
16,0.581426348253127,SHRINK_CAL,group_8,5,2
17,0.535671930844981,SHRINK_CAL,group_8,5,2
4,0.508114991779718,SHRINK,group_32,1,2
8,0.660608527119864,SHRINK,group_32,1,2
12,0.845570058051345,SHRINK,group_32,1,2
13,0.637999953982154,SHRINK,group_32,1,2
4,0.488153084062407,SHRINK_CAL,group_32,1,2
8,0.632017741782509,SHRINK_CAL,group_32,1,2
12,0.852584278169844,SHRINK_CAL,group_32,1,2
13,0.591034067841742,SHRINK_CAL,group_32,1,2
7,0.660739810712551,SHRINK,group_32,2,2
15,0.777956050180331,SHRINK,group_32,2,2
18,0.695256196008524,SHRINK,group_32,2,2
19,0.718948193597325,SHRINK,group_32,2,2
7,0.680725527410826,SHRINK_CAL,group_32,2,2
15,0.803254704036188,SHRINK_CAL,group_32,2,2
18,0.722760336584885,SHRINK_CAL,group_32,2,2
19,0.741143751857599,SHRINK_CAL,group_32,2,2
5,0.620614497599369,SHRINK,group_32,3,2
6,0.618562148186822,SHRINK,group_32,3,2
9,0.612499199341394,SHRINK,group_32,3,2
14,0.606546809639183,SHRINK,group_32,3,2
5,0.598678191125007,SHRINK_CAL,group_32,3,2
6,0.596095812296828,SHRINK_CAL,group_32,3,2
9,0.58643127443339,SHRINK_CAL,group_32,3,2
14,0.578690640265936,SHRINK_CAL,group_32,3,2
1,0.538812729305557,SHRINK,group_32,4,2
3,0.569118113624,SHRINK,group_32,4,2
10,0.617189380296501,SHRINK,group_32,4,2
1,0.527594359469485,SHRINK_CAL,group_32,4,2
3,0.560362006433094,SHRINK_CAL,group_32,4,2
10,0.610369791640257,SHRINK_CAL,group_32,4,2
11,0.591180277664715,SHRINK,group_32,5,2
16,0.63805681303603,SHRINK,group_32,5,2
17,0.634655952779751,SHRINK,group_32,5,2
11,0.571854083017578,SHRINK_CAL,group_32,5,2
16,0.613046445077832,SHRINK_CAL,group_32,5,2
17,0.600273065808677,SHRINK_CAL,group_32,5,2
4,0.587255479393898,SHRINK,row_0.5,1,2
8,0.595493499930555,SHRINK,row_0.5,1,2
12,0.931088867044419,SHRINK,row_0.5,1,2
13,0.470617276435182,SHRINK,row_0.5,1,2
4,0.493778760268641,SHRINK_CAL,row_0.5,1,2
8,0.609860746780771,SHRINK_CAL,row_0.5,1,2
12,0.934522642342753,SHRINK_CAL,row_0.5,1,2
13,0.526933903631503,SHRINK_CAL,row_0.5,1,2
7,0.571327375945628,SHRINK,row_0.5,2,2
15,0.753579847770644,SHRINK,row_0.5,2,2
18,0.557232751232146,SHRINK,row_0.5,2,2
19,0.650548954047248,SHRINK,row_0.5,2,2
7,0.615829096304136,SHRINK_CAL,row_0.5,2,2
15,0.769339693472157,SHRINK_CAL,row_0.5,2,2
18,0.636027354419861,SHRINK_CAL,row_0.5,2,2
19,0.686460356255443,SHRINK_CAL,row_0.5,2,2
5,0.802075257202309,SHRINK,row_0.5,3,2
6,0.805656892596433,SHRINK,row_0.5,3,2
9,0.635080301224033,SHRINK,row_0.5,3,2
14,0.633604905861316,SHRINK,row_0.5,3,2
5,0.619372188274074,SHRINK_CAL,row_0.5,3,2
6,0.61745008435535,SHRINK_CAL,row_0.5,3,2
9,0.578437192667787,SHRINK_CAL,row_0.5,3,2
