RowOrder,PXD,SampleGroup,Category,DisplayGroup,SampleID,ConditionLabel,SampleClass,ObservationType,SourceMode,SourceFile,KlaProteinCount,KlaDdrProteinCount,KlaDdrFraction,KlaDdrFractionPercentage,ReferenceFraction,ReferenceDdr,ReferenceTotal
22,PXD060185,T-47D,cancer_cells,T-47D cells,D,D,single,sample,deposited_sample_table,PXD060185/search_results/RESULT/combined/txt/La (K)Sites.txt,1301,159,0.122213681783244,12.2213681783244,6.48464163822526,228,3516
23,PXD063266,PC-3M,cancer_cells,PC-3M cells,1,1,replicate,sample,deposited_supplementary_table,PXD063266/search_results/LactylSites.xlsx,348,41,0.117816091954023,11.7816091954023,3.25506274071313,262,8049
23,PXD063266,PC-3M,cancer_cells,PC-3M cells,2,2,replicate,sample,deposited_supplementary_table,PXD063266/search_results/LactylSites.xlsx,145,24,0.16551724137931,16.551724137931,3.25506274071313,262,8049
23,PXD063266,PC-3M,cancer_cells,PC-3M cells,3,3,replicate,sample,deposited_supplementary_table,PXD063266/search_results/LactylSites.xlsx,216,28,0.12962962962963,12.962962962963,3.25506274071313,262,8049
24,PXD070007,glioblastoma stem cells,cancer_cells,Glioblastoma stem-cell models,G2907,G2907,model,model,deposited_supplementary_table,PXD070007/search_results/SA206LPLaB1_Annotation.xlsx,1647,168,0.10200364298725,10.200364298725,5.91115357057559,495,8374
24,PXD070007,glioblastoma stem cells,cancer_cells,Glioblastoma stem-cell models,G3028,G3028,model,model,deposited_supplementary_table,PXD070007/search_results/SA206LPLaB1_Annotation.xlsx,1558,159,0.102053915275995,10.2053915275995,5.91115357057559,495,8374
24,PXD070007,glioblastoma stem cells,cancer_cells,Glioblastoma stem-cell models,G3264,G3264,model,model,deposited_supplementary_table,PXD070007/search_results/SA206LPLaB1_Annotation.xlsx,1262,131,0.103803486529319,10.3803486529319,5.91115357057559,495,8374
24,PXD070007,glioblastoma stem cells,cancer_cells,Glioblastoma stem-cell models,GSC23,GSC23,model,model,deposited_supplementary_table,PXD070007/search_results/SA206LPLaB1_Annotation.xlsx,1628,179,0.10995085995086,10.995085995086,5.91115357057559,495,8374
24,PXD070007,glioblastoma stem cells,cancer_cells,Glioblastoma stem-cell models,MES28,MES28,model,model,deposited_supplementary_table,PXD070007/search_results/SA206LPLaB1_Annotation.xlsx,1556,170,0.109254498714653,10.9254498714653,5.91115357057559,495,8374
24,PXD070007,glioblastoma stem cells,cancer_cells,Glioblastoma stem-cell models,RKI,RKI,model,model,deposited_supplementary_table,PXD070007/search_results/SA206LPLaB1_Annotation.xlsx,1751,165,0.0942318675042833,9.42318675042833,5.91115357057559,495,8374
25,PXD078013,RKO WT and GSK3B KO,cancer_cells,RKO cells (WT and GSK3B KO),sg737_1,GSK3B KO,GSK3B KO,condition,deposited_sample_table,PXD078013/search_results/evidence.txt;PXD078013/search_results/proteinGroups.txt,904,89,0.0984513274336283,9.84513274336283,6.97095435684647,252,3615
25,PXD078013,RKO WT and GSK3B KO,cancer_cells,RKO cells (WT and GSK3B KO),sg737_2,GSK3B KO,GSK3B KO,condition,deposited_sample_table,PXD078013/search_results/evidence.txt;PXD078013/search_results/proteinGroups.txt,751,77,0.102529960053262,10.2529960053262,6.97095435684647,252,3615
25,PXD078013,RKO WT and GSK3B KO,cancer_cells,RKO cells (WT and GSK3B KO),sg_1,GSK3B WT,GSK3B WT,condition,deposited_sample_table,PXD078013/search_results/evidence.txt;PXD078013/search_results/proteinGroups.txt,1053,98,0.0930674264007597,9.30674264007597,6.97095435684647,252,3615
25,PXD078013,RKO WT and GSK3B KO,cancer_cells,RKO cells (WT and GSK3B KO),sg_2,GSK3B WT,GSK3B WT,condition,deposited_sample_table,PXD078013/search_results/evidence.txt;PXD078013/search_results/proteinGroups.txt,1116,97,0.0869175627240144,8.69175627240144,6.97095435684647,252,3615
28,PXD028488,HEK293T,normal_cells,HEK293T cells,HEK293T_dataset_union,HEK293T_dataset_union,single,dataset_union,validated_publication_membership,data/publication_input/kla_protein_membership_30.csv,438,44,0.100456621004566,10.0456621004566,5.91523055426176,381,6441
29,PXD028737,HMC3,normal_cells,HMC3 cells (normoxia and hypoxia),H0,H0,normoxia,sample,deposited_sample_table,PXD028737/search_results/extracted_pairing/combined/combined/txt/La(K)Sites.txt,1277,144,0.112764291307753,11.2764291307753,6.93085453359426,425,6132
29,PXD028737,HMC3,normal_cells,HMC3 cells (normoxia and hypoxia),H24,H24,hypoxia,sample,deposited_sample_table,PXD028737/search_results/extracted_pairing/combined/combined/txt/La(K)Sites.txt,1087,124,0.114075436982521,11.4075436982521,6.93085453359426,425,6132
30,PXD058534,pretreated HK-2,normal_cells,HK-2 cells (IR-CM treated),HK2,HK2,single,dataset_union,deposited_group_union,PXD058534/search_results/extracted_pairing/txt/La (K)Sites.txt,2164,220,0.101663585951941,10.1663585951941,6.20788237696549,304,4897
31,PXD078736,HK-2 control and mannitol,normal_cells,HK-2 cells (normoxia and hypoxia-reoxygenation),ctr_1,control,control,sample,deposited_sample_table,PXD078736/search_results/txt/La(K)Sites.txt,962,105,0.109147609147609,10.9147609147609,6.20788237696549,304,4897
31,PXD078736,HK-2 control and mannitol,normal_cells,HK-2 cells (normoxia and hypoxia-reoxygenation),ctr_2,control,control,sample,deposited_sample_table,PXD078736/search_results/txt/La(K)Sites.txt,952,103,0.108193277310924,10.8193277310924,6.20788237696549,304,4897
31,PXD078736,HK-2 control and mannitol,normal_cells,HK-2 cells (normoxia and hypoxia-reoxygenation),ctr_3,control,control,sample,deposited_sample_table,PXD078736/search_results/txt/La(K)Sites.txt,955,105,0.109947643979058,10.9947643979058,6.20788237696549,304,4897
31,PXD078736,HK-2 control and mannitol,normal_cells,HK-2 cells (normoxia and hypoxia-reoxygenation),man_1,mannitol,mannitol,sample,deposited_sample_table,PXD078736/search_results/txt/La(K)Sites.txt,533,56,0.105065666041276,10.5065666041276,6.20788237696549,304,4897
31,PXD078736,HK-2 control and mannitol,normal_cells,HK-2 cells (normoxia and hypoxia-reoxygenation),man_2,mannitol,mannitol,sample,deposited_sample_table,PXD078736/search_results/txt/La(K)Sites.txt,536,54,0.100746268656716,10.0746268656716,6.20788237696549,304,4897
31,PXD078736,HK-2 control and mannitol,normal_cells,HK-2 cells (normoxia and hypoxia-reoxygenation),man_3,mannitol,mannitol,sample,deposited_sample_table,PXD078736/search_results/txt/La(K)Sites.txt,526,54,0.102661596958175,10.2661596958175,6.20788237696549,304,4897
32,PXD060185,MCF10A,normal_cells,MCF10A cells,C,C,single,sample,deposited_sample_table,PXD060185/search_results/RESULT/combined/txt/La (K)Sites.txt,947,115,0.121436114044351,12.1436114044351,5.00103327133705,242,4839
33,PXD070007,neural stem cells,normal_cells,Neural stem-cell models,ENSA,ENSA,model,model,deposited_supplementary_table,PXD070007/search_results/SA206LPLaB1_Annotation.xlsx,1414,160,0.113154172560113,11.3154172560113,6.33452939552857,459,7246
33,PXD070007,neural stem cells,normal_cells,Neural stem-cell models,HMP1,HMP1,model,model,deposited_supplementary_table,PXD070007/search_results/SA206LPLaB1_Annotation.xlsx,1080,135,0.125,12.5,6.33452939552857,459,7246
34,PXD073311,HUVEC control and Pg infection,normal_cells,HUVECs (control and P. gingivalis infection),A0h_1,A0h control,A0h control,condition,deposited_spectronaut_matrix,PXD073311/search_results/extracted_pairing/IPX0015307003_Database_search_result/Database_search_result/report.pr_matrix.tsv,1880,178,0.0946808510638298,9.46808510638298,6.56915576084167,512,7794
34,PXD073311,HUVEC control and Pg infection,normal_cells,HUVECs (control and P. gingivalis infection),A0h_2,A0h control,A0h control,condition,deposited_spectronaut_matrix,PXD073311/search_results/extracted_pairing/IPX0015307003_Database_search_result/Database_search_result/report.pr_matrix.tsv,1862,178,0.0955961331901181,9.55961331901181,6.56915576084167,512,7794
34,PXD073311,HUVEC control and Pg infection,normal_cells,HUVECs (control and P. gingivalis infection),A0h_3,A0h control,A0h control,condition,deposited_spectronaut_matrix,PXD073311/search_results/extracted_pairing/IPX0015307003_Database_search_result/Database_search_result/report.pr_matrix.tsv,1844,178,0.096529284164859,9.6529284164859,6.56915576084167,512,7794
34,PXD073311,HUVEC control and Pg infection,normal_cells,HUVECs (control and P. gingivalis infection),A6h_1,A6h Pg infection,A6h Pg infection,condition,deposited_spectronaut_matrix,PXD073311/search_results/extracted_pairing/IPX0015307003_Database_search_result/Database_search_result/report.pr_matrix.tsv,1855,177,0.0954177897574124,9.54177897574124,6.56915576084167,512,7794
34,PXD073311,HUVEC control and Pg infection,normal_cells,HUVECs (control and P. gingivalis infection),A6h_2,A6h Pg infection,A6h Pg infection,condition,deposited_spectronaut_matrix,PXD073311/search_results/extracted_pairing/IPX0015307003_Database_search_result/Database_search_result/report.pr_matrix.tsv,1851,177,0.0956239870340357,9.56239870340357,6.56915576084167,512,7794
34,PXD073311,HUVEC control and Pg infection,normal_cells,HUVECs (control and P. gingivalis infection),A6h_3,A6h Pg infection,A6h Pg infection,condition,deposited_spectronaut_matrix,PXD073311/search_results/extracted_pairing/IPX0015307003_Database_search_result/Database_search_result/report.pr_matrix.tsv,1841,173,0.0939706681151548,9.39706681151548,6.56915576084167,512,7794
