GroupID,Model,ReferenceKey,ConnGroup,N_rows,Pos_count,obs_rate,mean_pred,calib_error,abs_calib_error
KLA31_04,ME,GSE181540_adjacent_NS_input,3,76,25,0.328947368421053,0.444886525680991,0.115939157259938,0.115939157259938
KLA31_05,ME,GTEx_v8_Hippocampus,4,146,25,0.171232876712329,0.366494540891761,0.195261664179432,0.195261664179432
KLA31_06,ME,GSE114691_control_placenta,5,228,8,0.0350877192982456,0.38082854057097,0.345740821272725,0.345740821272725
KLA31_07,ME,sperm_GroupI,6,276,5,0.0181159420289855,0.363037575952331,0.344921633923346,0.344921633923346
KLA31_08,ME,GSE132714_BPH,7,280,128,0.457142857142857,0.391414653553839,-0.0657282035890177,0.0657282035890177
KLA31_11,ME,TCGA_PRAD_primary,7,281,129,0.459074733096086,0.385795106858487,-0.0732796262375989,0.0732796262375989
KLA31_09,ME,TCGA_LIHC_normal,8,134,69,0.514925373134328,0.350482676133186,-0.164442697001143,0.164442697001143
KLA31_12,ME,TCGA_LIHC_primary,8,186,88,0.473118279569893,0.365616534632937,-0.107501744936956,0.107501744936956
KLA31_10,ME,TCGA_ESCA_ESCC,9,288,82,0.284722222222222,0.40329002743097,0.118567805208747,0.118567805208747
KLA31_13,ME,MCF7_DMSO7d,10,167,87,0.520958083832335,0.422932696299595,-0.0980253875327405,0.0980253875327405
KLA31_20,ME,MDAMB468_DMSO7d,10,175,106,0.605714285714286,0.423280020551897,-0.182434265162389,0.182434265162389
KLA31_21,ME,GSE283812_T47D_vehicle,10,180,103,0.572222222222222,0.442840040301447,-0.129382181920775,0.129382181920775
KLA31_29,ME,GSE103520_MCF10A_control,10,155,62,0.4,0.329754314516944,-0.0702456854830564,0.0702456854830564
KLA31_14,ME,HCT116_control,11,205,27,0.131707317073171,0.471971412530832,0.340264095457661,0.340264095457661
KLA31_15,ME,HCT116_control,11,205,52,0.253658536585366,0.471971412530832,0.218312875945466,0.218312875945466
KLA31_16,ME,HCT116_control,11,323,224,0.693498452012384,0.445475653252636,-0.248022798759748,0.248022798759748
KLA31_17,ME,GSE163787_TALL104,11,192,34,0.177083333333333,0.473057744336447,0.295974411003113,0.295974411003113
KLA31_25,ME,GSE203529_HEK293T_WT,11,268,38,0.141791044776119,0.469620011294235,0.327828966518116,0.327828966518116
KLA31_18,ME,HepG2_DMSO24h,12,303,228,0.752475247524752,0.281941869107147,-0.470533378417605,0.470533378417605
KLA31_19,ME,GSE171750_A549_untreated,13,175,86,0.491428571428572,0.436498605599475,-0.0549299658290962,0.0549299658290962
KLA31_22,ME,PC3M_DMSO,14,177,28,0.15819209039548,0.445015518983794,0.286823428588314,0.286823428588314
KLA31_23,ME,GSE266884_MES28_vector_control,15,320,220,0.6875,0.385150719260211,-0.302349280739789,0.302349280739789
KLA31_30,ME,GSE119834_NSC,15,307,164,0.534201954397394,0.301230544039268,-0.232971410358127,0.232971410358127
KLA31_24,ME,RKO_DMSO,16,193,90,0.466321243523316,0.431882192041443,-0.0344390514818732,0.0344390514818732
KLA31_26,ME,GSE275256_HMC3_vehicle,17,287,141,0.491289198606272,0.43359681157582,-0.0576923870304515,0.0576923870304515
KLA31_27,ME,HK2_untreated,18,216,141,0.652777777777778,0.424538332291658,-0.22823944548612,0.22823944548612
KLA31_28,ME,HK2_untreated,18,216,89,0.412037037037037,0.424538332291658,0.0125012952546211,0.0125012952546211
KLA31_31,ME,HUVEC_untreated,19,323,172,0.532507739938081,0.393005885311994,-0.139501854626086,0.139501854626086
KLA31_01,ME2,tendon_nondiabetic,1,112,22,0.196428571428571,0.381660942765599,0.185232371337027,0.185232371337027
