release,release_date,filename,url,md5_hash
DepMap Public 25Q3,2025-09-25,OmicsExpressionTranscriptEffectiveLengthHumanAllGenesStranded.csv,,006b862de5de2a833e7edc2b5be2871d
DepMap Public 25Q3,2025-09-25,OmicsExpressionTranscriptExpectedCountHumanAllGenes.csv,,107b1e6310db98c02975344f971b5408
DepMap Public 25Q3,2025-09-25,OmicsExpressionTranscriptExpectedCountHumanAllGenesStranded.csv,,3407c7dc896b3411bd069a26950e3979
DepMap Public 25Q3,2025-09-25,OmicsExpressionTranscriptTPMLogp1HumanAllGenes.csv,,e369c7d1835cb1a10d1515ac0346b6fc
DepMap Public 25Q3,2025-09-25,OmicsExpressionTranscriptTPMLogp1HumanAllGenesStranded.csv,,f1d8137c0c9e1b44e2ea5775f4e7ebc0
DepMap Public 25Q3,2025-09-25,OmicsFusionFiltered.csv,,07c5abff9e75add6cc56c1f06485a1ca
DepMap Public 25Q3,2025-09-25,OmicsFusionFilteredSupplementary.csv,,c7e2638f61ed2c697f8e560fa6ab87f4
DepMap Public 25Q3,2025-09-25,OmicsInferredMolecularSubtypes.csv,,19823a18fdd59cc70b04264b28620403
DepMap Public 25Q2,2025-06-27,ScreenSequenceMap.csv,,de3851113937416711f83025d7b39329
DepMap Public 25Q2,2025-06-27,README.txt,,7d98c9cc4d8f501fc43645d58090fe8d
DepMap Public 25Q2,2025-06-27,ScreenGeneEffect.csv,,e5544f419d5ee98f3a74f60924650e32
DepMap Public 25Q2,2025-06-27,ScreenGeneEffectUncorrected.csv,,7e20454e32f8526ceaabec35949462bc
DepMap Public 25Q2,2025-06-27,ScreenNaiveGeneScore.csv,,76e0ba75e6cec6e651c888aad7190e42
DepMap Public 25Q2,2025-06-27,ScreenGeneDependency.csv,,dd59db89241243736c10e6b020584131
DepMap Public 25Q2,2025-06-27,CRISPRScreenMap.csv,,e1328914f4d9f4d4fac9fbc9e47c7f41
DepMap Public 25Q2,2025-06-27,CRISPRGeneEffect.csv,,821aa040fdb366c6204a220a5f9fe316
DepMap Public 25Q2,2025-06-27,CRISPRGeneEffectUncorrected.csv,,7931796486abcd6a1c6490d092ef17d5
DepMap Public 25Q2,2025-06-27,CRISPRInferredLibraryEffect.csv,,14d015f9f4c47f6856338e8dfea23463
DepMap Public 25Q2,2025-06-27,CRISPRInitialOffset.csv,,614960625f99f96cdeaa9342c7800bec
DepMap Public 25Q2,2025-06-27,CRISPRGeneDependency.csv,,3c559fc6a5945916f591bd04f2e98f15
DepMap Public 25Q2,2025-06-27,CRISPRInferredGuideEfficacy.csv,,44d2dd36796cfd1b5511ff130be72bcd
DepMap Public 25Q2,2025-06-27,CRISPRInferredModelGrowthRate.csv,,81d40e5e5a7f52f12b4fe05de01527f9
DepMap Public 25Q2,2025-06-27,CRISPRInferredModelEfficacy.csv,,1e4c5c27954eb40a86b539f2cb0717d0
DepMap Public 25Q2,2025-06-27,CRISPRInferredSequenceOverdispersion.csv,,f8ce41be42954d9078503c954c154e53
DepMap Public 25Q2,2025-06-27,CRISPRInferredCommonEssentials.csv,,ccb9b7379f5afa69b3863e22fd8b1bae
DepMap Public 25Q2,2025-06-27,AchillesCommonEssentialControls.csv,,9cc07e7ebc282984d8107341dfde8f26
DepMap Public 25Q2,2025-06-27,AchillesNonessentialControls.csv,,ca6a757db1cae49b913423ce73b818cf
DepMap Public 25Q2,2025-06-27,AvanaRawReadcounts.csv,,dfac0ae52f428b5a2ad827c40d4b9dc0
DepMap Public 25Q2,2025-06-27,HumagneRawReadcounts.csv,,08a42c5337b38b055938cf74a7270b9e
