RowOrder,PXD,SampleGroup,Category,DisplayGroup,Dataset,SampleID,ConditionLabel,SampleClass,ObservationType,SourceMode,SourceFile,ReferencePXD,ProteinCount,DdrProteinCount,DdrFraction,DdrFractionPercentage,FrozenKlaProteinCount,FrozenKlaDdrProteinCount,FrozenKlaDdrFraction,FrozenReferenceProteinCount,FrozenReferenceDdrProteinCount,FrozenReferenceDdrFraction
7,PXD064912,human sperm,normal_tissue,Human sperm,Whole proteome,N7,N7,N sperm,sample,deposited_sample_table,PXD066517/search_results/20240275.tsv,PXD066517,8411,345,0.0410177148971585,4.10177148971585,231,7,3.03030303030303,10680,461,4.31647940074906
7,PXD064912,human sperm,normal_tissue,Human sperm,Whole proteome,N8,N8,N sperm,sample,deposited_sample_table,PXD066517/search_results/20240275.tsv,PXD066517,8423,341,0.0404843879852784,4.04843879852784,231,7,3.03030303030303,10680,461,4.31647940074906
7,PXD064912,human sperm,normal_tissue,Human sperm,Whole proteome,N9,N9,N sperm,sample,deposited_sample_table,PXD066517/search_results/20240275.tsv,PXD066517,8520,340,0.039906103286385,3.9906103286385,231,7,3.03030303030303,10680,461,4.31647940074906
8,PXD066054,BPH,normal_tissue,Benign prostatic hyperplasia tissue,Lactylome (Kla),NAT1,NAT1,replicate,sample,deposited_spectronaut_table,PXD066054/search_results/extracted/PLa/XB08700B1DPLa_-PTMSiteReport.tsv,PXD066054,2091,140,0.0669536107125777,6.69536107125777,2118,142,6.70443814919736,8169,408,4.99449136981271
8,PXD066054,BPH,normal_tissue,Benign prostatic hyperplasia tissue,Lactylome (Kla),NAT2,NAT2,replicate,sample,deposited_spectronaut_table,PXD066054/search_results/extracted/PLa/XB08700B1DPLa_-PTMSiteReport.tsv,PXD066054,1978,133,0.0672396359959555,6.72396359959555,2118,142,6.70443814919736,8169,408,4.99449136981271
8,PXD066054,BPH,normal_tissue,Benign prostatic hyperplasia tissue,Lactylome (Kla),NAT3,NAT3,replicate,sample,deposited_spectronaut_table,PXD066054/search_results/extracted/PLa/XB08700B1DPLa_-PTMSiteReport.tsv,PXD066054,1979,129,0.0651844365841334,6.51844365841334,2118,142,6.70443814919736,8169,408,4.99449136981271
8,PXD066054,BPH,normal_tissue,Benign prostatic hyperplasia tissue,Lactylome (Kla),NAT4,NAT4,replicate,sample,deposited_spectronaut_table,PXD066054/search_results/extracted/PLa/XB08700B1DPLa_-PTMSiteReport.tsv,PXD066054,2040,131,0.0642156862745098,6.42156862745098,2118,142,6.70443814919736,8169,408,4.99449136981271
8,PXD066054,BPH,normal_tissue,Benign prostatic hyperplasia tissue,Lactylome (Kla),NAT5,NAT5,replicate,sample,deposited_spectronaut_table,PXD066054/search_results/extracted/PLa/XB08700B1DPLa_-PTMSiteReport.tsv,PXD066054,2029,131,0.0645638245441104,6.45638245441104,2118,142,6.70443814919736,8169,408,4.99449136981271
8,PXD066054,BPH,normal_tissue,Benign prostatic hyperplasia tissue,Whole proteome,NAT1,NAT1,replicate,sample,deposited_sample_table,PXD066054/search_results/extracted/DA/Protein_Quant.tsv,PXD066054,7916,396,0.0500252652854977,5.00252652854977,2118,142,6.70443814919736,8169,408,4.99449136981271
8,PXD066054,BPH,normal_tissue,Benign prostatic hyperplasia tissue,Whole proteome,NAT2,NAT2,replicate,sample,deposited_sample_table,PXD066054/search_results/extracted/DA/Protein_Quant.tsv,PXD066054,7805,393,0.0503523382447149,5.03523382447149,2118,142,6.70443814919736,8169,408,4.99449136981271
8,PXD066054,BPH,normal_tissue,Benign prostatic hyperplasia tissue,Whole proteome,NAT3,NAT3,replicate,sample,deposited_sample_table,PXD066054/search_results/extracted/DA/Protein_Quant.tsv,PXD066054,7929,399,0.0503216042376088,5.03216042376088,2118,142,6.70443814919736,8169,408,4.99449136981271
8,PXD066054,BPH,normal_tissue,Benign prostatic hyperplasia tissue,Whole proteome,NAT4,NAT4,replicate,sample,deposited_sample_table,PXD066054/search_results/extracted/DA/Protein_Quant.tsv,PXD066054,7937,398,0.050144891016757,5.0144891016757,2118,142,6.70443814919736,8169,408,4.99449136981271
8,PXD066054,BPH,normal_tissue,Benign prostatic hyperplasia tissue,Whole proteome,NAT5,NAT5,replicate,sample,deposited_sample_table,PXD066054/search_results/extracted/DA/Protein_Quant.tsv,PXD066054,7768,390,0.050205973223481,5.0205973223481,2118,142,6.70443814919736,8169,408,4.99449136981271
9,PXD075377,adjacent liver,normal_tissue,Adjacent liver tissue,Whole proteome,Non-rec1,Non-rec1,Non-rec,sample,deposited_supplementary_table,PXD065775/search_results/20170330_01-24_patients_iTRAQ.xlsx,PXD065775,4251,194,0.0456363208656787,4.56363208656787,1775,113,6.36619718309859,4251,194,4.56363208656787
9,PXD075377,adjacent liver,normal_tissue,Adjacent liver tissue,Whole proteome,Non-rec2,Non-rec2,Non-rec,sample,deposited_supplementary_table,PXD065775/search_results/20170330_01-24_patients_iTRAQ.xlsx,PXD065775,4251,194,0.0456363208656787,4.56363208656787,1775,113,6.36619718309859,4251,194,4.56363208656787
9,PXD075377,adjacent liver,normal_tissue,Adjacent liver tissue,Whole proteome,Non-rec3,Non-rec3,Non-rec,sample,deposited_supplementary_table,PXD065775/search_results/20170330_01-24_patients_iTRAQ.xlsx,PXD065775,4251,194,0.0456363208656787,4.56363208656787,1775,113,6.36619718309859,4251,194,4.56363208656787
9,PXD075377,adjacent liver,normal_tissue,Adjacent liver tissue,Whole proteome,Non-rec4,Non-rec4,Non-rec,sample,deposited_supplementary_table,PXD065775/search_results/20170330_01-24_patients_iTRAQ.xlsx,PXD065775,4251,194,0.0456363208656787,4.56363208656787,1775,113,6.36619718309859,4251,194,4.56363208656787
9,PXD075377,adjacent liver,normal_tissue,Adjacent liver tissue,Whole proteome,Rec1,Rec1,Rec,sample,deposited_supplementary_table,PXD065775/search_results/20170330_01-24_patients_iTRAQ.xlsx,PXD065775,4251,194,0.0456363208656787,4.56363208656787,1775,113,6.36619718309859,4251,194,4.56363208656787
9,PXD075377,adjacent liver,normal_tissue,Adjacent liver tissue,Whole proteome,Rec2,Rec2,Rec,sample,deposited_supplementary_table,PXD065775/search_results/20170330_01-24_patients_iTRAQ.xlsx,PXD065775,4251,194,0.0456363208656787,4.56363208656787,1775,113,6.36619718309859,4251,194,4.56363208656787
