ConnGroup,LogLoss,Model,candidate_lambda,OuterConnGroup
4,0.603594655635722,MP_cal,0.05,2
5,0.620299389785323,MP_cal,0.05,2
17,0.463872644973492,MP_cal,0.05,2
3,0.576168461218583,MP_cal,0.05,2
14,0.508360244717055,MP_cal,0.05,2
15,0.648656800725868,MP_cal,0.05,2
6,0.602114371445599,MP_cal,0.05,2
13,0.505798795245331,MP_cal,0.05,2
16,0.588372456289796,MP_cal,0.05,2
19,0.584370678609865,MP_cal,0.05,2
8,0.600027109781864,MP_cal,0.1,2
9,0.545413468595523,MP_cal,0.1,2
10,0.534470513204881,MP_cal,0.1,2
18,0.571577409934409,MP_cal,0.1,2
7,0.541047909602539,MP_cal,0.1,2
11,0.592973845044206,MP_cal,0.1,2
12,0.768693422924828,MP_cal,0.1,2
1,0.548990855823468,MP_cal,0.1,2
4,0.603588781397855,MP_cal,0.1,2
5,0.620292525530229,MP_cal,0.1,2
17,0.463879854488837,MP_cal,0.1,2
3,0.576163825021128,MP_cal,0.1,2
14,0.508358923224668,MP_cal,0.1,2
15,0.648656854116569,MP_cal,0.1,2
6,0.602108188529378,MP_cal,0.1,2
13,0.505804075887818,MP_cal,0.1,2
16,0.588372982480237,MP_cal,0.1,2
19,0.584373221568443,MP_cal,0.1,2
8,0.600037471889536,MP_cal,0.3,2
9,0.545419994046515,MP_cal,0.3,2
10,0.534500888357219,MP_cal,0.3,2
18,0.571600596549065,MP_cal,0.3,2
7,0.541058515899242,MP_cal,0.3,2
11,0.592954294206952,MP_cal,0.3,2
12,0.768659122629558,MP_cal,0.3,2
1,0.548981190392539,MP_cal,0.3,2
4,0.603565299441144,MP_cal,0.3,2
5,0.620265083583021,MP_cal,0.3,2
17,0.463908686745538,MP_cal,0.3,2
3,0.576145293683889,MP_cal,0.3,2
14,0.508353644286875,MP_cal,0.3,2
15,0.648657073088423,MP_cal,0.3,2
6,0.60208346925174,MP_cal,0.3,2
13,0.505825195669847,MP_cal,0.3,2
16,0.588375091144275,MP_cal,0.3,2
19,0.584383393861628,MP_cal,0.3,2
8,0.600073744680567,MP_cal,1,2
9,0.545442842025166,MP_cal,1,2
10,0.534607114106681,MP_cal,1,2
18,0.571681691457782,MP_cal,1,2
7,0.541095706341534,MP_cal,1,2
11,0.592886133507549,MP_cal,1,2
12,0.768539470054678,MP_cal,1,2
1,0.548947481946002,MP_cal,1,2
4,0.603483301118668,MP_cal,1,2
5,0.620169226292006,MP_cal,1,2
17,0.46400952658554,MP_cal,1,2
3,0.576080603139377,MP_cal,1,2
14,0.508335256393821,MP_cal,1,2
15,0.648657907463164,MP_cal,1,2
6,0.601997107560439,MP_cal,1,2
13,0.505899079790788,MP_cal,1,2
16,0.588382520507914,MP_cal,1,2
19,0.584419002617657,MP_cal,1,2
8,0.717610390214684,ME,0.05,2
9,0.601710869993649,ME,0.05,2
10,0.710766748313342,ME,0.05,2
18,0.714280532714081,ME,0.05,2
7,0.669546337108282,ME,0.05,2
11,0.678094168705731,ME,0.05,2
12,1.03859567537796,ME,0.05,2
1,0.611539076691717,ME,0.05,2
4,0.585343505106165,ME,0.05,2
5,0.542084568465254,ME,0.05,2
17,0.684860334731527,ME,0.05,2
3,0.608492986103568,ME,0.05,2
14,0.615422522521686,ME,0.05,2
15,0.782859464820057,ME,0.05,2
6,0.502229452794856,ME,0.05,2
13,0.688217528339226,ME,0.05,2
16,0.679855274920185,ME,0.05,2
19,0.706766053079317,ME,0.05,2
8,0.717610024726542,ME,0.1,2
9,0.601711704225843,ME,0.1,2
10,0.710767375506084,ME,0.1,2
18,0.714281149645468,ME,0.1,2
7,0.669546872705501,ME,0.1,2
11,0.678091266452821,ME,0.1,2
12,1.03857982638406,ME,0.1,2
1,0.611539532033678,ME,0.1,2
4,0.585344640175124,ME,0.1,2
5,0.542086082744582,ME,0.1,2
17,0.684860731459183,ME,0.1,2
3,0.608493209692836,ME,0.1,2
14,0.615420681277655,ME,0.1,2
15,0.782857659231938,ME,0.1,2
6,0.502231480038457,ME,0.1,2
13,0.688217995256564,ME,0.1,2
16,0.679855766814625,ME,0.1,2
19,0.70676630950933,ME,0.1,2
8,0.717608563246472,ME,0.3,2
9,0.601715040476074,ME,0.3,2
10,0.710769883899223,ME,0.3,2
18,0.714283616935945,ME,0.3,2
7,0.66954901522463,ME,0.3,2
11,0.678079662028335,ME,0.3,2
12,1.03851645238307,ME,0.3,2
1,0.611541353087921,ME,0.3,2
4,0.5853491796664,ME,0.3,2
5,0.54209213876096,ME,0.3,2
17,0.68486231815871,ME,0.3,2
3,0.608494104125196,ME,0.3,2
14,0.615413318243631,ME,0.3,2
15,0.782850438973229,ME,0.3,2
6,0.502239587531385,ME,0.3,2
13,0.688219862611929,ME,0.3,2
16,0.679857734061369,ME,0.3,2
19,0.706767335062073,ME,0.3,2
8,0.717603454012957,ME,1,2
9,0.601726708808959,ME,1,2
10,0.710778658516717,ME,1,2
18,0.71429224697422,ME,1,2
7,0.669556515671335,ME,1,2
11,0.678039104253186,ME,1,2
12,1.03829491986818,ME,1,2
1,0.611547722829014,ME,1,2
4,0.585365058007068,ME,1,2
5,0.54211332095631,ME,1,2
17,0.684867868948386,ME,1,2
3,0.608497235583724,ME,1,2
14,0.615387572070036,ME,1,2
15,0.782825194420803,ME,1,2
6,0.502267945103045,ME,1,2
13,0.688226394402038,ME,1,2
16,0.679864615256824,ME,1,2
19,0.706770922389891,ME,1,2
8,0.697581443564737,ME2,0.05,2
9,0.596927202849117,ME2,0.05,2
10,0.695633727222304,ME2,0.05,2
18,0.756570715089654,ME2,0.05,2
7,0.677872533267418,ME2,0.05,2
11,0.693921960299542,ME2,0.05,2
12,1.1220692898733,ME2,0.05,2
1,0.59982406917473,ME2,0.05,2
4,0.590903515456476,ME2,0.05,2
5,0.54819047272243,ME2,0.05,2
17,0.685737364227008,ME2,0.05,2
3,0.607798145808344,ME2,0.05,2
14,0.576458906826014,ME2,0.05,2
15,0.806291836542496,ME2,0.05,2
6,0.621246719432584,ME2,0.05,2
13,0.705202008893131,ME2,0.05,2
16,0.672573711209479,ME2,0.05,2
19,0.719412651617239,ME2,0.05,2
8,0.697582514296468,ME2,0.1,2
9,0.596928749752904,ME2,0.1,2
10,0.695634945274946,ME2,0.1,2
18,0.756566607977375,ME2,0.1,2
7,0.677873017948127,ME2,0.1,2
11,0.693919304893659,ME2,0.1,2
12,1.12205365767125,ME2,0.1,2
1,0.599825341080526,ME2,0.1,2
4,0.590904613843907,ME2,0.1,2
5,0.548192034608688,ME2,0.1,2
17,0.685737783922978,ME2,0.1,2
3,0.607798247420641,ME2,0.1,2
14,0.576459714112786,ME2,0.1,2
15,0.806287514058808,ME2,0.1,2
6,0.621244053024293,ME2,0.1,2
13,0.705201635277122,ME2,0.1,2
16,0.672574735664263,ME2,0.1,2
19,0.719412185955501,ME2,0.1,2
8,0.697586796229975,ME2,0.3,2
9,0.596934935258024,ME2,0.3,2
10,0.695639818164146,ME2,0.3,2
18,0.756550189326475,ME2,0.3,2
7,0.677874956298191,ME2,0.3,2
11,0.693908686521777,ME2,0.3,2
12,1.12199114576051,ME2,0.3,2
1,0.59983042736728,ME2,0.3,2
4,0.590909006432289,ME2,0.3,2
5,0.548198280646816,ME2,0.3,2
17,0.685739462473958,ME2,0.3,2
3,0.607798654489613,ME2,0.3,2
14,0.57646294215909,ME2,0.3,2
15,0.806270230957822,ME2,0.3,2
6,0.621233390077302,ME2,0.3,2
13,0.705200141527939,ME2,0.3,2
16,0.672578832562027,ME2,0.3,2
19,0.719410324117597,ME2,0.3,2
8,0.697601770479825,ME2,1,2
9,0.59695655797687,ME2,1,2
10,0.695656881755626,ME2,1,2
18,0.756492847243675,ME2,1,2
7,0.677881735829835,ME2,1,2
11,0.693871563134741,ME2,1,2
12,1.12177256672473,ME2,1,2
1,0.599848212549473,ME2,1,2
4,0.590924368389749,ME2,1,2
5,0.548220122812417,ME2,1,2
17,0.685745334468493,ME2,1,2
3,0.607800087020209,ME2,1,2
14,0.576474226465522,ME2,1,2
15,0.806209826078417,ME2,1,2
6,0.621196103570946,ME2,1,2
13,0.705194922398376,ME2,1,2
16,0.672593160104612,ME2,1,2
19,0.719403817863276,ME2,1,2
8,0.602398256434566,ME_P,0.05,2
