ReferenceKey,Model,n_group_ids,N_rows,Pos_count,obs_rate,mean_pred,calib_error,abs_calib_error
GSE266884_MES28_vector_control,ME_P,1,320,220,0.6875,0.354597549180067,-0.332902450819933,0.332902450819933
GSE119834_NSC,ME_P,1,307,164,0.534201954397394,0.318784746160551,-0.215417208236843,0.215417208236843
RKO_DMSO,ME_P,1,193,90,0.466321243523316,0.424815973596981,-0.0415052699263352,0.0415052699263352
GSE275256_HMC3_vehicle,ME_P,1,287,141,0.491289198606272,0.403867396788857,-0.0874218018174147,0.0874218018174147
HK2_untreated,ME_P,2,432,230,0.532407407407407,0.400943384278342,-0.131464023129066,0.131464023129066
HUVEC_untreated,ME_P,1,323,172,0.532507739938081,0.377824299124376,-0.154683440813705,0.154683440813705
tendon_nondiabetic,ME2P,1,112,22,0.196428571428571,0.425570987107669,0.229142415679098,0.229142415679098
GTEx_v8_Lung,ME2P,1,280,21,0.075,0.383347206029166,0.308347206029166,0.308347206029166
GSE181540_HS_input,ME2P,1,70,14,0.2,0.486080381701553,0.286080381701553,0.286080381701553
GSE181540_adjacent_NS_input,ME2P,1,76,25,0.328947368421053,0.487912580676009,0.158965212254956,0.158965212254956
GTEx_v8_Hippocampus,ME2P,1,146,25,0.171232876712329,0.408947179777262,0.237714303064933,0.237714303064933
