Entry	Gene Names (primary)	Gene Names	Protein names
P02778	CXCL10	CXCL10 INP10 SCYB10	C-X-C motif chemokine 10 (10 kDa interferon gamma-induced protein) (Gamma-IP10) (IP-10) (Small-inducible cytokine B10) [Cleaved into: CXCL10(1-73)]
P02786	TFRC	TFRC	Transferrin receptor protein 1 (TR) (TfR) (TfR1) (Trfr) (T9) (Transferrin receptor 1) (p90) (CD antigen CD71) [Cleaved into: Transferrin receptor protein 1, serum form (sTfR)]
P02787	TF	TF PRO1400	Serotransferrin (Transferrin) (Beta-1 metal-binding globulin) (Siderophilin)
P02788	LTF	LTF GIG12 LF	Lactotransferrin (Lactoferrin) (EC 3.4.21.-) (Growth-inhibiting protein 12) (Talalactoferrin) [Cleaved into: Lactoferricin-H (Lfcin-H); Kaliocin-1; Lactoferroxin-A; Lactoferroxin-B; Lactoferroxin-C]
P02790	HPX	HPX	Hemopexin (Beta-1B-glycoprotein)
P02792	FTL	FTL	Ferritin light chain (Ferritin L subunit)
P02794	FTH1	FTH1 FTH FTHL6 OK/SW-cl.84 PIG15	Ferritin heavy chain (Ferritin H subunit) (EC 1.16.3.1) (Cell proliferation-inducing gene 15 protein) [Cleaved into: Ferritin heavy chain, N-terminally processed]
P02795	MT2A	MT2A CES1 MT2	Metallothionein-2 (MT-2) (Metallothionein-2A) (Metallothionein-II) (MT-II)
P02808	STATH	STATH	Statherin
P02810	PRH1; PRH2	PRH1; PRH2	Salivary acidic proline-rich phosphoprotein 1/2 (Db-s) (PRP-1/PRP-2) (Parotid acidic protein) (Pa) (Parotid double-band protein) (Parotid isoelectric focusing variant protein) (PIF-S) (Parotid proline-rich protein 1/2) (Pr1/Pr2) (Protein C) [Cleaved into: Salivary acidic proline-rich phosphoprotein 1/2; Salivary acidic proline-rich phosphoprotein 3/4 (Db-F) (PIF-F) (PRP-3/PRP-4) (Protein A); Peptide P-C]
P02812	PRB2	PRB2	Basic salivary proline-rich protein 2 (Salivary proline-rich protein) (Con1 glycoprotein) [Cleaved into: Basic proline-rich peptide IB-1; Basic proline-rich peptide P-E (IB-9); Basic proline-rich peptide IB-7; Basic proline-rich peptide IB-8c (Basic peptide P-F); Basic proline-rich peptide IB-4]
P02814	SMR3B	SMR3B PBII PRL3 PROL3	Submaxillary gland androgen-regulated protein 3B (Proline-rich peptide P-B) (Proline-rich protein 3) [Cleaved into: Peptide P-A; Peptide D1A]
P02818	BGLAP	BGLAP	Osteocalcin (Bone Gla protein) (BGP) (Gamma-carboxyglutamic acid-containing protein)
P03372	ESR1	ESR1 ESR NR3A1	Estrogen receptor (ER) (ER-alpha) (Estradiol receptor) (Nuclear receptor subfamily 3 group A member 1)
P03886	MT-ND1	MT-ND1 MTND1 NADH1 ND1	NADH-ubiquinone oxidoreductase chain 1 (EC 7.1.1.2) (NADH dehydrogenase subunit 1)
P03891	MT-ND2	MT-ND2 MTND2 NADH2 ND2	NADH-ubiquinone oxidoreductase chain 2 (EC 7.1.1.2) (NADH dehydrogenase subunit 2)
P03897	MT-ND3	MT-ND3 MTND3 NADH3 ND3	NADH-ubiquinone oxidoreductase chain 3 (EC 7.1.1.2) (NADH dehydrogenase subunit 3)
P03901	MT-ND4L	MT-ND4L MTND4L NADH4L ND4L	NADH-ubiquinone oxidoreductase chain 4L (EC 7.1.1.2) (NADH dehydrogenase subunit 4L) (ND4L)
P03905	MT-ND4	MT-ND4 MTND4 NADH4 ND4	NADH-ubiquinone oxidoreductase chain 4 (EC 7.1.1.2) (NADH dehydrogenase subunit 4)
P03915	MT-ND5	MT-ND5 MTND5 NADH5 ND5	NADH-ubiquinone oxidoreductase chain 5 (EC 7.1.1.2) (NADH dehydrogenase subunit 5)
P03923	MT-ND6	MT-ND6 MTND6 NADH6 ND6	NADH-ubiquinone oxidoreductase chain 6 (EC 7.1.1.2) (NADH dehydrogenase subunit 6)
P03928	MT-ATP8	MT-ATP8 ATP8 ATPASE8 MTATP8	ATP synthase F(0) complex subunit 8 (A6L) (F-ATPase subunit 8)
P03950	ANG	ANG RNASE5	Angiogenin (EC 3.1.27.-) (Ribonuclease 5) (RNase 5)
P03951	F11	F11	Coagulation factor XI (FXI) (EC 3.4.21.27) (Plasma thromboplastin antecedent) (PTA) [Cleaved into: Coagulation factor XIa heavy chain; Coagulation factor XIa light chain]
P03952	KLKB1	KLKB1 KLK3	Plasma kallikrein (EC 3.4.21.34) (Fletcher factor) (Kininogenin) (Plasma prekallikrein) (PKK) [Cleaved into: Plasma kallikrein heavy chain; Plasma kallikrein light chain]
P03956	MMP1	MMP1 CLG	Interstitial collagenase (EC 3.4.24.7) (Fibroblast collagenase) (Matrix metalloproteinase-1) (MMP-1) [Cleaved into: 22 kDa interstitial collagenase; 27 kDa interstitial collagenase]
P03971	AMH	AMH MIF	Anti-Muellerian hormone (AMH) (Muellerian-inhibiting factor) (Muellerian-inhibiting substance) (MIS)
P03973	SLPI	SLPI WAP4 WFDC4	Antileukoproteinase (ALP) (BLPI) (HUSI-1) (Mucus proteinase inhibitor) (MPI) (Protease inhibitor WAP4) (Secretory leukocyte protease inhibitor) (Seminal proteinase inhibitor) (WAP four-disulfide core domain protein 4)
P03999	OPN1SW	OPN1SW BCP	Short-wave-sensitive opsin 1 (Blue cone photoreceptor pigment) (Blue-sensitive opsin) (BOP)
P04000	OPN1LW	OPN1LW RCP	Long-wave-sensitive opsin 1 (Red cone photoreceptor pigment) (Red-sensitive opsin) (ROP)
P04001	OPN1MW	OPN1MW GCP	Medium-wave-sensitive opsin 1 (Green cone photoreceptor pigment) (Green-sensitive opsin) (GOP)
P04003	C4BPA	C4BPA C4BP	C4b-binding protein alpha chain (C4bp) (Proline-rich protein) (PRP)
P04004	VTN	VTN	Vitronectin (VN) (S-protein) (Serum-spreading factor) (V75) [Cleaved into: Vitronectin V65 subunit; Vitronectin V10 subunit; Somatomedin-B]
P04035	HMGCR	HMGCR	3-hydroxy-3-methylglutaryl-coenzyme A reductase (HMG-CoA reductase) (EC 1.1.1.34)
P04040	CAT	CAT	Catalase (EC 1.11.1.6)
P04049	RAF1	RAF1 RAF	RAF proto-oncogene serine/threonine-protein kinase (EC 2.7.11.1) (Proto-oncogene c-RAF) (cRaf) (Raf-1)
P04053	DNTT	DNTT TDT	DNA nucleotidylexotransferase (EC 2.7.7.31) (Terminal addition enzyme) (Terminal deoxynucleotidyltransferase) (Terminal transferase)
P04054	PLA2G1B	PLA2G1B PLA2 PLA2A PPLA2	Phospholipase A2 (EC 3.1.1.4) (Group IB phospholipase A2) (Phosphatidylcholine 2-acylhydrolase 1B)
P04062	GBA1	GBA1 GBA GC GLUC	Lysosomal acid glucosylceramidase (Lysosomal acid GCase) (EC 3.2.1.45) (Acid beta-glucosidase) (Alglucerase) (Beta-glucocerebrosidase) (Beta-GC) (Beta-glucosylceramidase 1) (Cholesterol glucosyltransferase) (SGTase) (EC 2.4.1.-) (Cholesteryl-beta-glucosidase) (EC 3.2.1.-) (D-glucosyl-N-acylsphingosine glucohydrolase) (Glucosylceramidase beta 1) (Imiglucerase) (Lysosomal cholesterol glycosyltransferase) (Lysosomal galactosylceramidase) (EC 3.2.1.46) (Lysosomal glycosylceramidase)
P04066	FUCA1	FUCA1 Nbla10230	Tissue alpha-L-fucosidase (EC 3.2.1.51) (Alpha-L-fucosidase I) (Alpha-L-fucoside fucohydrolase 1) (Alpha-L-fucosidase 1)
P04070	PROC	PROC	Vitamin K-dependent protein C (EC 3.4.21.69) (Anticoagulant protein C) (Autoprothrombin IIA) (Blood coagulation factor XIV) [Cleaved into: Vitamin K-dependent protein C light chain; Vitamin K-dependent protein C heavy chain; Activation peptide]
P04075	ALDOA	ALDOA ALDA	Fructose-bisphosphate aldolase A (EC 4.1.2.13) (Lung cancer antigen NY-LU-1) (Muscle-type aldolase)
P04080	CSTB	CSTB CST6 STFB	Cystatin-B (CPI-B) (Liver thiol proteinase inhibitor) (Stefin-B)
P04083	ANXA1	ANXA1 ANX1 LPC1	Annexin A1 (Annexin I) (Annexin-1) (Calpactin II) (Calpactin-2) (Chromobindin-9) (Lipocortin I) (Phospholipase A2 inhibitory protein) (p35) [Cleaved into: Annexin Ac2-26]
P04085	PDGFA	PDGFA PDGF1	Platelet-derived growth factor subunit A (PDGF subunit A) (PDGF-1) (Platelet-derived growth factor A chain) (Platelet-derived growth factor alpha polypeptide)
P04090	RLN2	RLN2	Prorelaxin H2 [Cleaved into: Relaxin B chain; Relaxin A chain]
P04114	APOB	APOB	Apolipoprotein B-100 (Apo B-100) [Cleaved into: Apolipoprotein B-48 (Apo B-48)]
P04118	CLPS	CLPS	Colipase
P04141	CSF2	CSF2 GMCSF	Granulocyte-macrophage colony-stimulating factor (GM-CSF) (Colony-stimulating factor) (CSF) (Molgramostin) (Sargramostim)
P04150	NR3C1	NR3C1 GRL	Glucocorticoid receptor (GR) (Nuclear receptor subfamily 3 group C member 1)
P04155	TFF1	TFF1 BCEI PS2	Trefoil factor 1 (Breast cancer estrogen-inducible protein) (PNR-2) (Polypeptide P1.A) (hP1.A) (Protein pS2)
P04156	PRNP	PRNP ALTPRP PRIP PRP	Major prion protein (PrP) (ASCR) (PrP27-30) (PrP33-35C) (CD antigen CD230)
P04179	SOD2	SOD2	Superoxide dismutase [Mn], mitochondrial (EC 1.15.1.1)
P04180	LCAT	LCAT	Phosphatidylcholine-sterol acyltransferase (EC 2.3.1.43) (1-alkyl-2-acetylglycerophosphocholine esterase) (EC 3.1.1.47) (Lecithin-cholesterol acyltransferase) (Phospholipid-cholesterol acyltransferase) (Platelet-activating factor acetylhydrolase) (PAF acetylhydrolase)
P04181	OAT	OAT	Ornithine aminotransferase, mitochondrial (EC 2.6.1.13) (Ornithine delta-aminotransferase) (Ornithine--oxo-acid aminotransferase) [Cleaved into: Ornithine aminotransferase, hepatic form; Ornithine aminotransferase, renal form]
P04183	TK1	TK1	Thymidine kinase, cytosolic (EC 2.7.1.21)
P04196	HRG	HRG	Histidine-rich glycoprotein (Histidine-proline-rich glycoprotein) (HPRG)
P04198	MYCN	MYCN BHLHE37 NMYC	N-myc proto-oncogene protein (Class E basic helix-loop-helix protein 37) (bHLHe37)
P04201	MAS1	MAS1 MAS	Proto-oncogene Mas
P04216	THY1	THY1	Thy-1 membrane glycoprotein (CDw90) (Thy-1 antigen) (CD antigen CD90)
P04217	A1BG	A1BG	Alpha-1B-glycoprotein (Alpha-1-B glycoprotein)
P04233	CD74	CD74 DHLAG	HLA class II histocompatibility antigen gamma chain (HLA-DR antigens-associated invariant chain) (Ia antigen-associated invariant chain) (Ii) (CD antigen CD74) [Cleaved into: Class-II-associated invariant chain peptide (CLIP)]
P04234	CD3D	CD3D T3D	T-cell surface glycoprotein CD3 delta chain (T-cell receptor T3 delta chain) (CD antigen CD3d)
P04259	KRT6B	KRT6B K6B KRTL1	Keratin, type II cytoskeletal 6B (Cytokeratin-6B) (CK-6B) (Keratin-6B) (K6B) (Type-II keratin Kb10)
P04264	KRT1	KRT1 KRTA	Keratin, type II cytoskeletal 1 (67 kDa cytokeratin) (Cytokeratin-1) (CK-1) (Hair alpha protein) (Keratin-1) (K1) (Type-II keratin Kb1)
P04271	S100B	S100B	Protein S100-B (S-100 protein beta chain) (S-100 protein subunit beta) (S100 calcium-binding protein B)
P04275	VWF	VWF F8VWF	von Willebrand factor (vWF) [Cleaved into: von Willebrand antigen 2 (von Willebrand antigen II)]
P04278	SHBG	SHBG	Sex hormone-binding globulin (SHBG) (Sex steroid-binding protein) (SBP) (Testis-specific androgen-binding protein) (ABP) (Testosterone-estradiol-binding globulin) (TeBG) (Testosterone-estrogen-binding globulin)
P04279	SEMG1	SEMG1 SEMG	Semenogelin-1 (Cancer/testis antigen 103) (Semenogelin I) (SGI) [Cleaved into: Alpha-inhibin-92; Alpha-inhibin-31; Seminal basic protein]
P04280	PRB1	PRB1	Basic salivary proline-rich protein 1 (Salivary proline-rich protein) [Cleaved into: Proline-rich peptide II-2; Basic peptide IB-6; Peptide P-H]
P04350	TUBB4A	TUBB4A TUBB4 TUBB5	Tubulin beta-4A chain (Tubulin 5 beta) (Tubulin beta-4 chain)
P04406	GAPDH	GAPDH GAPD CDABP0047 OK/SW-cl.12	Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.12) (Peptidyl-cysteine S-nitrosylase GAPDH) (EC 2.6.99.-)
P04424	ASL	ASL	Argininosuccinate lyase (ASAL) (EC 4.3.2.1) (Arginosuccinase)
P04439	HLA-A	HLA-A HLAA	HLA class I histocompatibility antigen, A alpha chain (Human leukocyte antigen A) (HLA-A)
P04440	HLA-DPB1	HLA-DPB1 HLA-DP1B	HLA class II histocompatibility antigen, DP beta 1 chain (HLA class II histocompatibility antigen, DP(W4) beta chain) (MHC class II antigen DPB1)
P04553	PRM1	PRM1	Sperm protamine P1 (Cysteine-rich protamine)
P04554	PRM2	PRM2	Protamine-2 (Sperm histone P2) (Sperm protamine P2) [Cleaved into: Basic nuclear protein HPI1; Basic nuclear protein HPI2; Basic nuclear protein HPS1; Basic nuclear protein HPS2; Sperm histone HP4 (Sperm protamine P4); Sperm histone HP2 (Sperm protamine P2) (P2'); Sperm histone HP3 (P2'') (Sperm protamine P3)]
P04626	ERBB2	ERBB2 HER2 MLN19 NEU NGL	Receptor tyrosine-protein kinase erbB-2 (EC 2.7.10.1) (Metastatic lymph node gene 19 protein) (MLN 19) (Proto-oncogene Neu) (Proto-oncogene c-ErbB-2) (Tyrosine kinase-type cell surface receptor HER2) (p185erbB2) (CD antigen CD340)
P04628	WNT1	WNT1 INT1	Proto-oncogene Wnt-1 (Proto-oncogene Int-1 homolog)
P04629	NTRK1	NTRK1 MTC TRK TRKA	High affinity nerve growth factor receptor (EC 2.7.10.1) (Neurotrophic tyrosine kinase receptor type 1) (TRK1-transforming tyrosine kinase protein) (Tropomyosin-related kinase A) (Tyrosine kinase receptor) (Tyrosine kinase receptor A) (Trk-A) (gp140trk) (p140-TrkA)
P04632	CAPNS1	CAPNS1 CAPN4 CAPNS	Calpain small subunit 1 (CSS1) (Calcium-activated neutral proteinase small subunit) (CANP small subunit) (Calcium-dependent protease small subunit) (CDPS) (Calcium-dependent protease small subunit 1) (Calpain regulatory subunit)
P04637	TP53	TP53 P53	Cellular tumor antigen p53 (Antigen NY-CO-13) (Phosphoprotein p53) (Tumor suppressor p53)
P04731	MT1A	MT1A MT1S	Metallothionein-1A (MT-1A) (Metallothionein-IA) (MT-IA)
P04732	MT1E	MT1E	Metallothionein-1E (MT-1E) (Metallothionein-IE) (MT-IE)
P04733	MT1F	MT1F PRO0376	Metallothionein-1F (MT-1F) (Metallothionein-IF) (MT-IF)
P04746	AMY2A	AMY2A	Pancreatic alpha-amylase (PA) (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase)
P04792	HSPB1	HSPB1 HSP27 HSP28	Heat shock protein beta-1 (HspB1) (28 kDa heat shock protein) (Estrogen-regulated 24 kDa protein) (Heat shock 27 kDa protein) (HSP 27) (Heat shock protein family B member 1) (Stress-responsive protein 27) (SRP27)
P04798	CYP1A1	CYP1A1	Cytochrome P450 1A1 (CYPIA1) (EC 1.14.14.1) (Cytochrome P450 form 6) (Cytochrome P450-C) (Cytochrome P450-P1) (Hydroperoxy icosatetraenoate dehydratase) (EC 4.2.1.152)
P04818	TYMS	TYMS TS OK/SW-cl.29	Thymidylate synthase (TS) (TSase) (EC 2.1.1.45)
P04839	CYBB	CYBB NOX2	NADPH oxidase 2 (EC 1.6.3.-) (CGD91-phox) (Cytochrome b(558) subunit beta) (Cytochrome b558 subunit beta) (Cytochrome b-245 heavy chain) (Heme-binding membrane glycoprotein gp91phox) (Neutrophil cytochrome b 91 kDa polypeptide) (Superoxide-generating NADPH oxidase heavy chain subunit) (gp91-1) (gp91-phox) (p22 phagocyte B-cytochrome)
P04843	RPN1	RPN1	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 (Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 67 kDa subunit) (Ribophorin I) (RPN-I) (Ribophorin-1)
P04844	RPN2	RPN2	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 (Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 63 kDa subunit) (RIBIIR) (Ribophorin II) (RPN-II) (Ribophorin-2)
P04899	GNAI2	GNAI2 GNAI2B	Guanine nucleotide-binding protein G(i) subunit alpha-2 (EC 3.6.5.-) (Adenylate cyclase-inhibiting G alpha protein)
P04908	H2AC4; H2AC8	H2AC4 H2AFM HIST1H2AB; H2AC8 H2AFA HIST1H2AE	Histone H2A type 1-B/E (Histone H2A.2) (Histone H2A/a) (Histone H2A/m)
P04920	SLC4A2	SLC4A2 AE2 EPB3L1 HKB3 MPB3L	Anion exchange protein 2 (AE 2) (Anion exchanger 2) (Non-erythroid band 3-like protein) (BND3L) (Solute carrier family 4 member 2)
P04921	GYPC	GYPC GLPC GPC	Glycophorin-C (Glycoconnectin) (Glycophorin-D) (GPD) (Glycoprotein beta) (PAS-2') (Sialoglycoprotein D) (CD antigen CD236)
P05000	IFNW1	IFNW1	Interferon omega-1 (Interferon alpha-II-1)
P05014	IFNA4	IFNA4	Interferon alpha-4 (IFN-alpha-4) (Interferon alpha-4B) (Interferon alpha-76) (Interferon alpha-M1)
P05019	IGF1	IGF1 IBP1 IGF-1	Insulin-like growth factor 1 (Insulin-like growth factor I) (IGF-I) (Mechano growth factor) (MGF) (Somatomedin-C)
P05023	ATP1A1	ATP1A1	Sodium/potassium-transporting ATPase subunit alpha-1 (Na(+)/K(+) ATPase alpha-1 subunit) (EC 7.2.2.13) (Sodium pump subunit alpha-1)
P05026	ATP1B1	ATP1B1 ATP1B	Sodium/potassium-transporting ATPase subunit beta-1 (Sodium/potassium-dependent ATPase subunit beta-1)
P05060	CHGB	CHGB SCG1	Secretogranin-1 (Chromogranin-B) (CgB) (Secretogranin I) (SgI) [Cleaved into: PE-11; GAWK peptide; CCB peptide]
P05062	ALDOB	ALDOB ALDB	Fructose-bisphosphate aldolase B (EC 4.1.2.13) (Liver-type aldolase)
P05067	APP	APP A4 AD1	Amyloid-beta precursor protein (APP) (ABPP) (APPI) (Alzheimer disease amyloid A4 protein homolog) (Alzheimer disease amyloid protein) (Amyloid precursor protein) (Amyloid-beta (A4) precursor protein) (Amyloid-beta A4 protein) (Cerebral vascular amyloid peptide) (CVAP) (PreA4) (Protease nexin-II) (PN-II) [Cleaved into: N-APP; Soluble APP-alpha (S-APP-alpha); Soluble APP-beta (S-APP-beta); C99 (Beta-secretase C-terminal fragment) (Beta-CTF); Amyloid-beta protein 42 (Abeta42) (Beta-APP42); Amyloid-beta protein 40 (Abeta40) (Beta-APP40); C83 (Alpha-secretase C-terminal fragment) (Alpha-CTF); P3(42); P3(40); C80; Gamma-secretase C-terminal fragment 59 (Gamma-CTF(59)) (Amyloid intracellular domain 59) (AICD-59) (AID(59)); Gamma-secretase C-terminal fragment 57 (Gamma-CTF(57)) (Amyloid intracellular domain 57) (AICD-57) (AID(57)); Gamma-secretase C-terminal fragment 50 (Gamma-CTF(50)) (Amyloid intracellular domain 50) (AICD-50) (AID(50)); C31]
P05089	ARG1	ARG1	Arginase-1 (EC 3.5.3.1) (Liver-type arginase) (Type I arginase)
P05090	APOD	APOD	Apolipoprotein D (Apo-D) (ApoD)
P05091	ALDH2	ALDH2 ALDM	Aldehyde dehydrogenase, mitochondrial (EC 1.2.1.3) (ALDH class 2) (ALDH-E2) (ALDHI)
P05093	CYP17A1	CYP17A1 CYP17 S17AH	Steroid 17-alpha-hydroxylase/17,20 lyase (EC 1.14.14.19) (17-alpha-hydroxyprogesterone aldolase) (EC 1.14.14.32) (CYPXVII) (Cytochrome P450 17A1) (Cytochrome P450-C17) (Cytochrome P450c17) (Steroid 17-alpha-monooxygenase)
P05106	ITGB3	ITGB3 GP3A	Integrin beta-3 (Platelet membrane glycoprotein IIIa) (GPIIIa) (CD antigen CD61)
P05107	ITGB2	ITGB2 CD18 MFI7	Integrin beta-2 (Cell surface adhesion glycoproteins LFA-1/CR3/p150,95 subunit beta) (Complement receptor C3 subunit beta) (CD antigen CD18)
P05108	CYP11A1	CYP11A1 CYP11A	Cholesterol side-chain cleavage enzyme, mitochondrial (EC 1.14.15.6) (CYPXIA1) (Cholesterol desmolase) (Cytochrome P450 11A1) (Cytochrome P450(scc))
P05109	S100A8	S100A8 CAGA CFAG MRP8	Protein S100-A8 (Calgranulin-A) (Calprotectin L1L subunit) (Cystic fibrosis antigen) (CFAG) (Leukocyte L1 complex light chain) (Migration inhibitory factor-related protein 8) (MRP-8) (p8) (S100 calcium-binding protein A8) (Urinary stone protein band A)
P05111	INHA	INHA	Inhibin alpha chain
P05112	IL4	IL4	Interleukin-4 (IL-4) (B-cell stimulatory factor 1) (BSF-1) (Binetrakin) (Lymphocyte stimulatory factor 1) (Pitrakinra)
P05113	IL5	IL5	Interleukin-5 (IL-5) (B-cell differentiation factor I) (Eosinophil differentiation factor) (T-cell replacing factor) (TRF)
P05114	HMGN1	HMGN1 HMG14	Non-histone chromosomal protein HMG-14 (High mobility group nucleosome-binding domain-containing protein 1)
P05120	SERPINB2	SERPINB2 PAI2 PLANH2	Plasminogen activator inhibitor 2 (PAI-2) (Monocyte Arg-serpin) (Placental plasminogen activator inhibitor) (Serpin B2) (Urokinase inhibitor)
P05121	SERPINE1	SERPINE1 PAI1 PLANH1	Plasminogen activator inhibitor 1 (PAI) (PAI-1) (Endothelial plasminogen activator inhibitor) (Serpin E1)
P05129	PRKCG	PRKCG PKCG	Protein kinase C gamma type (PKC-gamma) (EC 2.7.11.13)
P05141	SLC25A5	SLC25A5 AAC2 ANT2	ADP/ATP translocase 2 (ADP,ATP carrier protein 2) (ADP,ATP carrier protein, fibroblast isoform) (Adenine nucleotide translocator 2) (ANT 2) (Solute carrier family 25 member 5) [Cleaved into: ADP/ATP translocase 2, N-terminally processed]
P05154	SERPINA5	SERPINA5 PCI PLANH3 PROCI	Plasma serine protease inhibitor (Acrosomal serine protease inhibitor) (Plasminogen activator inhibitor 3) (PAI-3) (PAI3) (Protein C inhibitor) (PCI) (Serpin A5)
P05155	SERPING1	SERPING1 C1IN C1NH	Plasma protease C1 inhibitor (C1 Inh) (C1Inh) (C1 esterase inhibitor) (C1-inhibiting factor) (Serpin G1)
P05156	CFI	CFI IF	Complement factor I (EC 3.4.21.45) (C3B/C4B inactivator) [Cleaved into: Complement factor I heavy chain; Complement factor I light chain]
P05160	F13B	F13B	Coagulation factor XIII B chain (Fibrin-stabilizing factor B subunit) (Protein-glutamine gamma-glutamyltransferase B chain) (Transglutaminase B chain)
P05161	ISG15	ISG15 G1P2 UCRP	Ubiquitin-like protein ISG15 (Interferon-induced 15 kDa protein) (Interferon-induced 17 kDa protein) (IP17) (Ubiquitin cross-reactive protein) (hUCRP)
P05162	LGALS2	LGALS2	Galectin-2 (Gal-2) (Beta-galactoside-binding lectin L-14-II) (HL14) (Lactose-binding lectin 2) (S-Lac lectin 2)
P05164	MPO	MPO	Myeloperoxidase (MPO) (EC 1.11.2.2) [Cleaved into: Myeloperoxidase (75 kDa myeloperoxidase); 89 kDa myeloperoxidase; 84 kDa myeloperoxidase (Promyeloperoxidase) (proMPO); Myeloperoxidase light chain (Myeloperoxidase L-chain) (14.5 kDa myeloperoxidase); Myeloperoxidase heavy chain (Myeloperoxidase H-chain) (59 kDa myeloperoxidase); 38 kDa myeloperoxidase; 22 kDa myeloperoxidase]
P05165	PCCA	PCCA	Propionyl-CoA carboxylase alpha chain, mitochondrial (PCCase subunit alpha) (EC 6.4.1.3) (Propanoyl-CoA:carbon dioxide ligase subunit alpha)
P05166	PCCB	PCCB	Propionyl-CoA carboxylase beta chain, mitochondrial (PCCase subunit beta) (EC 6.4.1.3) (Propanoyl-CoA:carbon dioxide ligase subunit beta)
P05177	CYP1A2	CYP1A2	Cytochrome P450 1A2 (EC 1.14.14.1) (CYPIA2) (Cholesterol 25-hydroxylase) (Cytochrome P(3)450) (Cytochrome P450 4) (Cytochrome P450-P3) (Hydroperoxy icosatetraenoate dehydratase) (EC 4.2.1.152)
P05181	CYP2E1	CYP2E1 CYP2E	Cytochrome P450 2E1 (EC 1.14.14.1) (4-nitrophenol 2-hydroxylase) (EC 1.14.13.n7) (CYPIIE1) (Cytochrome P450-J)
P05186	ALPL	ALPL	Alkaline phosphatase, tissue-nonspecific isozyme (AP-TNAP) (TNS-ALP) (TNSALP) (EC 3.1.3.1) (Alkaline phosphatase liver/bone/kidney isozyme) (Phosphoamidase) (Phosphocreatine phosphatase) (EC 3.9.1.1)
