"BaseAccession"	"Reviewed"	"Entry Name"	"Protein names"	"Gene Names (primary)"	"Gene Ontology IDs"	"Gene Ontology (biological process)"	"Gene Ontology (cellular component)"	"Gene Ontology (molecular function)"	"Protein families"	"Domain [FT]"
"Q14527"	"reviewed"	"HLTF_HUMAN"	"DNA-dependent ATPase/E3 ubiquitin-protein ligase HLTF (EC 2.3.2.27) (EC 3.6.4.-) (DNA-binding protein/plasminogen activator inhibitor 1 regulator) (HIP116) (Helicase-like transcription factor) (HLTF) (RING finger protein 80) (RING-type E3 ubiquitin transferase HLTF) (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 3) (SMARCA3) (Sucrose nonfermenting protein 2-like 3)"	"HLTF"	"GO:0000209; GO:0000785; GO:0003697; GO:0003723; GO:0005524; GO:0005634; GO:0005654; GO:0005886; GO:0006281; GO:0006974; GO:0008094; GO:0008270; GO:0015616; GO:0016020; GO:0016363; GO:0016567; GO:0016887; GO:0031625; GO:0042789; GO:0043596; GO:0045944; GO:0050767; GO:0061630; GO:0062072; GO:0070534; GO:0071168; GO:0071932; GO:0140234; GO:0140658; GO:0141119; GO:0160225"	"chromosomal DNA methylation maintenance following DNA replication [GO:0141119]; DNA damage response [GO:0006974]; DNA repair [GO:0006281]; mRNA transcription by RNA polymerase II [GO:0042789]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein K63-linked ubiquitination [GO:0070534]; protein localization to chromatin [GO:0071168]; protein polyubiquitination [GO:0000209]; protein ubiquitination [GO:0016567]; regulation of neurogenesis [GO:0050767]; replication fork reversal [GO:0071932]"	"chromatin [GO:0000785]; membrane [GO:0016020]; nuclear matrix [GO:0016363]; nuclear replication fork [GO:0043596]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]"	"ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent activity, acting on DNA [GO:0008094]; ATP-dependent chromatin remodeler activity [GO:0140658]; DNA translocase activity [GO:0015616]; G-quadruplex unwinding activity [GO:0160225]; histone H3K23 ubiquitin ligase activity [GO:0140234]; histone H3K9me2/3 reader activity [GO:0062072]; RNA binding [GO:0003723]; single-stranded DNA binding [GO:0003697]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin protein ligase binding [GO:0031625]; zinc ion binding [GO:0008270]"	"SNF2/RAD54 helicase family, RAD16 subfamily"	"DOMAIN 435..606; /note=""Helicase ATP-binding""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00541""; DOMAIN 837..996; /note=""Helicase C-terminal""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00542"""
"Q14566"	"reviewed"	"MCM6_HUMAN"	"DNA replication licensing factor MCM6 (EC 3.6.4.12) (p105MCM)"	"MCM6"	"GO:0000727; GO:0000781; GO:0003678; GO:0003697; GO:0005524; GO:0005634; GO:0005654; GO:0006260; GO:0006270; GO:0016887; GO:0030174; GO:0042555; GO:0042802; GO:0071162; GO:1902969"	"DNA replication [GO:0006260]; DNA replication initiation [GO:0006270]; double-strand break repair via break-induced replication [GO:0000727]; mitotic DNA replication [GO:1902969]; regulation of DNA-templated DNA replication initiation [GO:0030174]"	"chromosome, telomeric region [GO:0000781]; CMG complex [GO:0071162]; MCM complex [GO:0042555]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]"	"ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA helicase activity [GO:0003678]; identical protein binding [GO:0042802]; single-stranded DNA binding [GO:0003697]"	"MCM family"	"DOMAIN 329..662; /note=""MCM C-terminal AAA(+) ATPase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU01410"""
"Q14669"	"reviewed"	"TRIPC_HUMAN"	"E3 ubiquitin-protein ligase TRIP12 (EC 2.3.2.26) (E3 ubiquitin-protein ligase for Arf) (ULF) (HECT-type E3 ubiquitin transferase TRIP12) (Thyroid receptor-interacting protein 12) (TR-interacting protein 12) (TRIP-12)"	"TRIP12"	"GO:0000209; GO:0005634; GO:0005654; GO:0005829; GO:0006281; GO:0006511; GO:0006974; GO:0016607; GO:0033696; GO:0043161; GO:0045995; GO:0046966; GO:0061630; GO:0140861"	"DNA damage response [GO:0006974]; DNA repair [GO:0006281]; DNA repair-dependent chromatin remodeling [GO:0140861]; heterochromatin boundary formation [GO:0033696]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein polyubiquitination [GO:0000209]; regulation of embryonic development [GO:0045995]; ubiquitin-dependent protein catabolic process [GO:0006511]"	"cytosol [GO:0005829]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]"	"nuclear thyroid hormone receptor binding [GO:0046966]; ubiquitin protein ligase activity [GO:0061630]"	"UPL family, K-HECT subfamily"	"DOMAIN 797..911; /note=""WWE""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00248""; DOMAIN 1960..2067; /note=""HECT""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00104"""
"Q14676"	"reviewed"	"MDC1_HUMAN"	"Mediator of DNA damage checkpoint protein 1 (Nuclear factor with BRCT domains 1)"	"MDC1"	"GO:0000076; GO:0005634; GO:0005654; GO:0005694; GO:0006281; GO:0006974; GO:0016604; GO:0031573; GO:0035861; GO:0140463; GO:0140566; GO:1990166"	"DNA damage response [GO:0006974]; DNA repair [GO:0006281]; DNA replication checkpoint signaling [GO:0000076]; mitotic intra-S DNA damage checkpoint signaling [GO:0031573]; protein localization to site of double-strand break [GO:1990166]"	"chromosome [GO:0005694]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; site of double-strand break [GO:0035861]"	"chromatin-protein adaptor activity [GO:0140463]; histone reader activity [GO:0140566]"	""	"DOMAIN 54..105; /note=""FHA""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00086""; DOMAIN 1892..1970; /note=""BRCT 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00033""; DOMAIN 1991..2082; /note=""BRCT 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00033"""
"Q14683"	"reviewed"	"SMC1A_HUMAN"	"Structural maintenance of chromosomes protein 1A (SMC protein 1A) (SMC-1-alpha) (SMC-1A) (Sb1.8)"	"SMC1A"	"GO:0000070; GO:0000775; GO:0000776; GO:0000794; GO:0003677; GO:0003682; GO:0003723; GO:0005524; GO:0005634; GO:0005654; GO:0005694; GO:0005829; GO:0006281; GO:0007062; GO:0007064; GO:0008278; GO:0009314; GO:0016363; GO:0016887; GO:0030893; GO:0034087; GO:0036033; GO:0046982; GO:0051301; GO:0051321; GO:0072423; GO:0090307; GO:0097431"	"cell division [GO:0051301]; DNA repair [GO:0006281]; establishment of mitotic sister chromatid cohesion [GO:0034087]; meiotic cell cycle [GO:0051321]; mitotic sister chromatid cohesion [GO:0007064]; mitotic sister chromatid segregation [GO:0000070]; mitotic spindle assembly [GO:0090307]; response to DNA damage checkpoint signaling [GO:0072423]; response to radiation [GO:0009314]; sister chromatid cohesion [GO:0007062]"	"chromosome [GO:0005694]; chromosome, centromeric region [GO:0000775]; cohesin complex [GO:0008278]; condensed nuclear chromosome [GO:0000794]; cytosol [GO:0005829]; kinetochore [GO:0000776]; meiotic cohesin complex [GO:0030893]; mitotic spindle pole [GO:0097431]; nuclear matrix [GO:0016363]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]"	"ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; chromatin binding [GO:0003682]; DNA binding [GO:0003677]; mediator complex binding [GO:0036033]; protein heterodimerization activity [GO:0046982]; RNA binding [GO:0003723]"	"SMC family, SMC1 subfamily"	"DOMAIN 515..629; /note=""SMC hinge"""
"Q14686"	"reviewed"	"NCOA6_HUMAN"	"Nuclear receptor coactivator 6 (Activating signal cointegrator 2) (ASC-2) (Amplified in breast cancer protein 3) (Cancer-amplified transcriptional coactivator ASC-2) (Nuclear receptor coactivator RAP250) (NRC RAP250) (Nuclear receptor-activating protein, 250 kDa) (Peroxisome proliferator-activated receptor-interacting protein) (PPAR-interacting protein) (PRIP) (Thyroid hormone receptor-binding protein)"	"NCOA6"	"GO:0003682; GO:0003713; GO:0005634; GO:0005654; GO:0005667; GO:0006352; GO:0006974; GO:0007420; GO:0007507; GO:0009725; GO:0019899; GO:0030099; GO:0030331; GO:0035097; GO:0045893; GO:0045944; GO:0046965; GO:0046966"	"brain development [GO:0007420]; DNA damage response [GO:0006974]; DNA-templated transcription initiation [GO:0006352]; heart development [GO:0007507]; myeloid cell differentiation [GO:0030099]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]; response to hormone [GO:0009725]"	"histone methyltransferase complex [GO:0035097]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; transcription regulator complex [GO:0005667]"	"chromatin binding [GO:0003682]; enzyme binding [GO:0019899]; nuclear estrogen receptor binding [GO:0030331]; nuclear retinoid X receptor binding [GO:0046965]; nuclear thyroid hormone receptor binding [GO:0046966]; transcription coactivator activity [GO:0003713]"	""	""
"Q14694"	"reviewed"	"UBP10_HUMAN"	"Ubiquitin carboxyl-terminal hydrolase 10 (EC 3.4.19.12) (Deubiquitinating enzyme 10) (Ubiquitin thioesterase 10) (Ubiquitin-specific-processing protease 10)"	"USP10"	"GO:0002039; GO:0003723; GO:0004197; GO:0004843; GO:0005634; GO:0005654; GO:0005737; GO:0005769; GO:0005829; GO:0006281; GO:0006508; GO:0006914; GO:0006974; GO:0010506; GO:0016579; GO:0019985; GO:0022626; GO:0030330; GO:0031647; GO:0032991; GO:0035520; GO:0043124; GO:0044325; GO:0045087; GO:0062030; GO:0071347; GO:0072344; GO:0140678"	"autophagy [GO:0006914]; cellular response to interleukin-1 [GO:0071347]; DNA damage response [GO:0006974]; DNA damage response, signal transduction by p53 class mediator [GO:0030330]; DNA repair [GO:0006281]; innate immune response [GO:0045087]; monoubiquitinated protein deubiquitination [GO:0035520]; negative regulation of canonical NF-kappaB signal transduction [GO:0043124]; negative regulation of stress granule assembly [GO:0062030]; protein deubiquitination [GO:0016579]; proteolysis [GO:0006508]; regulation of autophagy [GO:0010506]; regulation of protein stability [GO:0031647]; rescue of stalled cytosolic ribosome [GO:0072344]; translesion synthesis [GO:0019985]"	"cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic ribosome [GO:0022626]; early endosome [GO:0005769]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]"	"cysteine-type deubiquitinase activity [GO:0004843]; cysteine-type endopeptidase activity [GO:0004197]; molecular function inhibitor activity [GO:0140678]; p53 binding [GO:0002039]; RNA binding [GO:0003723]; transmembrane transporter binding [GO:0044325]"	"Peptidase C19 family, USP10 subfamily"	"DOMAIN 415..795; /note=""USP"""
"Q14807"	"reviewed"	"KIF22_HUMAN"	"Kinesin-like protein KIF22 (Kinesin-like DNA-binding protein) (Kinesin-like protein 4)"	"KIF22"	"GO:0000278; GO:0000776; GO:0000785; GO:0003677; GO:0003777; GO:0005524; GO:0005634; GO:0005737; GO:0005829; GO:0005871; GO:0005874; GO:0006281; GO:0007018; GO:0007062; GO:0007080; GO:0008017; GO:0016607; GO:0016887; GO:0051310; GO:0072686"	"DNA repair [GO:0006281]; metaphase chromosome alignment [GO:0051310]; microtubule-based movement [GO:0007018]; mitotic cell cycle [GO:0000278]; mitotic metaphase chromosome alignment [GO:0007080]; sister chromatid cohesion [GO:0007062]"	"chromatin [GO:0000785]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; kinesin complex [GO:0005871]; kinetochore [GO:0000776]; microtubule [GO:0005874]; mitotic spindle [GO:0072686]; nuclear speck [GO:0016607]; nucleus [GO:0005634]"	"ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; microtubule binding [GO:0008017]; microtubule motor activity [GO:0003777]"	"TRAFAC class myosin-kinesin ATPase superfamily, Kinesin family"	"DOMAIN 43..368; /note=""Kinesin motor""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00283"""
"Q14839"	"reviewed"	"CHD4_HUMAN"	"ATP-dependent chromatin remodeler CHD4 (EC 3.6.4.-) (Chromo domain-containing protein 4) (CHD-4) (Mi-2 autoantigen 218 kDa protein) (Mi2-beta)"	"CHD4"	"GO:0000122; GO:0000724; GO:0000781; GO:0000785; GO:0001221; GO:0003677; GO:0003682; GO:0003714; GO:0005524; GO:0005634; GO:0005654; GO:0005737; GO:0005813; GO:0006338; GO:0006351; GO:0008270; GO:0010629; GO:0016020; GO:0016581; GO:0016887; GO:0032991; GO:0042393; GO:0042659; GO:0042826; GO:0045892; GO:0045893; GO:0051963; GO:0061629; GO:0072553; GO:0090575; GO:0090734; GO:0140658; GO:0150048; GO:2000736"	"chromatin remodeling [GO:0006338]; DNA-templated transcription [GO:0006351]; double-strand break repair via homologous recombination [GO:0000724]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of gene expression [GO:0010629]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of DNA-templated transcription [GO:0045893]; regulation of cell fate specification [GO:0042659]; regulation of stem cell differentiation [GO:2000736]; regulation of synapse assembly [GO:0051963]; terminal button organization [GO:0072553]"	"centrosome [GO:0005813]; cerebellar granule cell to Purkinje cell synapse [GO:0150048]; chromatin [GO:0000785]; chromosome, telomeric region [GO:0000781]; cytoplasm [GO:0005737]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; NuRD complex [GO:0016581]; protein-containing complex [GO:0032991]; RNA polymerase II transcription regulator complex [GO:0090575]; site of DNA damage [GO:0090734]"	"ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent chromatin remodeler activity [GO:0140658]; chromatin binding [GO:0003682]; DNA binding [GO:0003677]; histone binding [GO:0042393]; histone deacetylase binding [GO:0042826]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]; transcription coregulator binding [GO:0001221]; transcription corepressor activity [GO:0003714]; zinc ion binding [GO:0008270]"	"SNF2/RAD54 helicase family"	"DOMAIN 494..594; /note=""Chromo 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00053""; DOMAIN 622..697; /note=""Chromo 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00053""; DOMAIN 738..922; /note=""Helicase ATP-binding""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00541""; DOMAIN 1054..1203; /note=""Helicase C-terminal""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00542"""
"Q14997"	"reviewed"	"PSME4_HUMAN"	"Proteasome activator complex subunit 4 (Proteasome activator PA200) (Protein BLM10 homolog) (Blm10) (hBlm10)"	"PSME4"	"GO:0005634; GO:0005654; GO:0005829; GO:0006281; GO:0006974; GO:0010499; GO:0016504; GO:0016607; GO:0030317; GO:0035092; GO:0070628; GO:1990111"	"DNA damage response [GO:0006974]; DNA repair [GO:0006281]; flagellated sperm motility [GO:0030317]; proteasomal ubiquitin-independent protein catabolic process [GO:0010499]; sperm DNA condensation [GO:0035092]"	"cytosol [GO:0005829]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spermatoproteasome complex [GO:1990111]"	"peptidase activator activity [GO:0016504]; proteasome binding [GO:0070628]"	"BLM10 family"	""
"Q15004"	"reviewed"	"PAF15_HUMAN"	"PCNA-associated factor (Hepatitis C virus NS5A-transactivated protein 9) (HCV NS5A-transactivated protein 9) (Overexpressed in anaplastic thyroid carcinoma 1) (OEATC-1) (PCNA-associated factor of 15 kDa) (PAF15) (p15PAF) (PCNA-clamp-associated factor)"	"PCLAF"	"GO:0003682; GO:0005634; GO:0005654; GO:0005813; GO:0006260; GO:0006281; GO:0006974; GO:0007098; GO:0009411; GO:0019985; GO:0048471; GO:0051726; GO:0060090"	"centrosome cycle [GO:0007098]; DNA damage response [GO:0006974]; DNA repair [GO:0006281]; DNA replication [GO:0006260]; regulation of cell cycle [GO:0051726]; response to UV [GO:0009411]; translesion synthesis [GO:0019985]"	"centrosome [GO:0005813]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]"	"chromatin binding [GO:0003682]; molecular adaptor activity [GO:0060090]"	""	""
"Q15054"	"reviewed"	"DPOD3_HUMAN"	"DNA polymerase delta subunit 3 (DNA polymerase delta subunit C) (DNA polymerase delta subunit p66) (DNA polymerase delta subunit p68)"	"POLD3"	"GO:0000731; GO:0005654; GO:0005737; GO:0006261; GO:0006271; GO:0006297; GO:0006298; GO:0016035; GO:0030674; GO:0042276; GO:0043625; GO:0071897; GO:1904161"	"DNA biosynthetic process [GO:0071897]; DNA strand elongation involved in DNA replication [GO:0006271]; DNA synthesis involved in DNA repair [GO:0000731]; DNA synthesis involved in UV-damage excision repair [GO:1904161]; DNA-templated DNA replication [GO:0006261]; error-prone translesion synthesis [GO:0042276]; mismatch repair [GO:0006298]; nucleotide-excision repair, DNA gap filling [GO:0006297]"	"cytoplasm [GO:0005737]; delta DNA polymerase complex [GO:0043625]; nucleoplasm [GO:0005654]; zeta DNA polymerase complex [GO:0016035]"	"protein-macromolecule adaptor activity [GO:0030674]"	""	""
"Q15208"	"reviewed"	"STK38_HUMAN"	"Serine/threonine-protein kinase 38 (EC 2.7.11.1) (NDR1 protein kinase) (Nuclear Dbf2-related kinase 1)"	"STK38"	"GO:0000077; GO:0000287; GO:0004674; GO:0005524; GO:0005634; GO:0005737; GO:0005829; GO:0006468; GO:0006974; GO:0031435; GO:0035556; GO:0035861; GO:0036211; GO:0043407; GO:0045296; GO:0106310; GO:0140035; GO:0140566; GO:0141185"	"DNA damage checkpoint signaling [GO:0000077]; DNA damage response [GO:0006974]; intracellular signal transduction [GO:0035556]; negative regulation of MAP kinase activity [GO:0043407]; protein modification process [GO:0036211]; protein phosphorylation [GO:0006468]"	"cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; site of double-strand break [GO:0035861]"	"ATP binding [GO:0005524]; cadherin binding [GO:0045296]; histone reader activity [GO:0140566]; magnesium ion binding [GO:0000287]; mitogen-activated protein kinase kinase kinase binding [GO:0031435]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; ubiquitin-like protein reader activity [GO:0140035]; UFM1-modified protein reader activity [GO:0141185]"	"Protein kinase superfamily, AGC Ser/Thr protein kinase family"	"DOMAIN 89..382; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159, ECO:0000312|EMBL:CAA84485.1""; DOMAIN 383..455; /note=""AGC-kinase C-terminal""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00618"""
